ic,name,direction,GENCONSETID,tier,treated_intervals,treated_binds_and_sets,treated_binds_only,treated_sets_only,treated_neither,control_intervals,control_binds_and_sets,control_binds_only,control_sets_only,control_neither
NSW1-QLD1,QNI,reverse,N-X_76_8,unsupported,54,0.0,0.0,0.0,1.0,204,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,forward,N-X_8E+DM+TW+LS_SVC,supported,276,0.0,0.0,0.0,1.0,414,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,reverse,N-X_8E+DM+TW+LS_SVC,supported,276,0.0,0.0,0.42028985507246375,0.5797101449275363,486,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,forward,N-X_8U+DM+TW+LS_SVC,indicative,312,0.0,0.0,0.0,1.0,834,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,reverse,N-X_8U+DM+TW+LS_SVC,indicative,312,0.0,0.0,0.6089743589743589,0.391025641025641,834,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,forward,N-X_AVMA_KCTX,unsupported,396,0.0,0.0,0.0,1.0,714,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,reverse,N-X_AVMA_KCTX,unsupported,396,0.0,0.0,0.05808080808080808,0.9419191919191919,690,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,forward,N-X_AVMA_SSWW,supported,1097,0.0,0.0,0.0,1.0,1878,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,reverse,N-X_AVMA_SSWW,supported,1097,0.07019143117593436,0.0009115770282588879,0.0601640838650866,0.8687329079307201,1914,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,forward,N-X_BWWO_BWLD,unsupported,390,0.2923076923076923,0.0,0.6923076923076923,0.015384615384615385,816,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,reverse,N-X_BWWO_BWLD,unsupported,390,0.0,0.0,0.0,1.0,816,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,forward,N-X_KCTX_LDTM,unsupported,138,0.0,0.0,1.0,0.0,264,0.0,0.0,0.25757575757575757,0.7424242424242424
NSW1-QLD1,QNI,reverse,N-X_KCTX_LDTM,unsupported,138,0.5507246376811594,0.021739130434782608,0.043478260869565216,0.38405797101449274,264,0.20454545454545456,0.0,0.25757575757575757,0.5378787878787878
NSW1-QLD1,QNI,forward,N-X_LPSS_MPWW,unsupported,6216,0.0,0.0,0.0,1.0,4097,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,reverse,N-X_LPSS_MPWW,unsupported,6216,0.0008043758043758043,0.0,0.0032175032175032173,0.995978120978121,4091,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,forward,Q-BCCP_812,unsupported,258,0.32558139534883723,0.0,0.0,0.6744186046511628,624,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,reverse,Q-BCCP_812,unsupported,258,0.0,0.0,0.0,1.0,624,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,forward,Q-BKBM,unsupported,5616,0.0,0.0,0.0,1.0,7984,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,reverse,Q-BKBM,supported,5616,0.0017806267806267807,0.0,0.02938034188034188,0.9688390313390314,7864,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,forward,Q-BRTX1,indicative,372,0.0,0.0,0.20161290322580644,0.7983870967741935,948,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,reverse,Q-BRTX1,indicative,372,0.0,0.0,0.0,1.0,864,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,forward,Q-CPWO_813/1,supported,7692,0.011960478419136765,0.0010400416016640667,0.004420176807072283,0.9825793031721269,7558,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,reverse,Q-CPWO_813/1,supported,7692,0.0,0.0,0.0,1.0,7726,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,forward,Q-LCCP_8859,supported,1038,0.1252408477842004,0.0019267822736030828,0.04431599229287091,0.8285163776493256,1482,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,reverse,Q-LCCP_8859,supported,1038,0.0,0.0,0.0,1.0,1488,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,forward,Q-RGLC_8875,supported,2142,0.09663865546218488,0.0,0.011204481792717087,0.8921568627450981,3318,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,reverse,Q-RGLC_8875,unsupported,2142,0.0,0.0,0.0,1.0,3138,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,forward,Q-X_BRHA_TWO,supported,864,0.0,0.0,0.015046296296296295,0.9849537037037037,1884,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,reverse,Q-X_BRHA_TWO,supported,864,0.0,0.0,0.0,1.0,1842,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,forward,Q-X_HACL_HATR,unsupported,3018,0.01027170311464546,0.0003313452617627568,0.01656726308813784,0.9728296885354539,4565,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,reverse,Q-X_HACL_HATR,supported,3018,0.0,0.0,0.0,1.0,4601,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,forward,Q-X_HATR2+HA_275BUS,indicative,966,0.07246376811594203,0.0,0.38923395445134573,0.5383022774327122,2304,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,reverse,Q-X_HATR2+HA_275BUS,indicative,966,0.0,0.0,0.0,1.0,1722,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,forward,Q-X_HATR3+HACL,unsupported,6,0.0,0.0,1.0,0.0,6,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,reverse,Q-X_HATR3+HACL,unsupported,6,0.0,0.0,0.0,1.0,6,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,forward,Q-X_HATR_TWO,supported,3588,0.0,0.0,0.35841694537346713,0.6415830546265329,8238,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,reverse,Q-X_HATR_TWO,supported,3588,0.0,0.0,0.0,1.0,7650,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,forward,Q-X_METR+BKSP,unsupported,36,0.0,0.0,0.3888888888888889,0.6111111111111112,84,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,reverse,Q-X_METR+BKSP,unsupported,36,0.0,0.0,0.0,1.0,102,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,forward,Q-X_METR+MESP,indicative,144,0.0625,0.0,0.8472222222222222,0.09027777777777778,204,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,reverse,Q-X_METR+MESP,indicative,144,0.0,0.0,0.0,1.0,258,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,forward,Q-X_MRGB_MRGB,unsupported,426,0.007042253521126761,0.002347417840375587,0.02112676056338028,0.9694835680751174,798,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,reverse,Q-X_MRGB_MRGB,unsupported,426,0.0,0.0,0.0,1.0,798,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,forward,Q-X_WIDEBAY,indicative,102,0.12745098039215685,0.0,0.13725490196078433,0.7352941176470589,156,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,reverse,Q-X_WIDEBAY,indicative,102,0.0,0.0,0.0,1.0,156,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,forward,Q-X_WIDEBAY_TWO,indicative,156,0.07692307692307693,0.0,0.11538461538461539,0.8076923076923077,234,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,reverse,Q-X_WIDEBAY_TWO,indicative,156,0.0,0.0,0.0,1.0,228,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,forward,Q-X_WOSP_WOPW_O,unsupported,6,0.0,0.0,1.0,0.0,6,0.0,0.0,0.0,1.0
NSW1-QLD1,QNI,reverse,Q-X_WOSP_WOPW_O,unsupported,6,0.0,0.0,0.0,1.0,6,0.0,0.0,0.0,1.0
T-V-MNSP1,Basslink,forward,F-T-GO_CB_A752,indicative,7619,0.000262501640635254,0.11615697598109988,0.008662554140963381,0.8749179682373015,5327,0.0,0.0,0.0,1.0
T-V-MNSP1,Basslink,reverse,F-T-GO_CB_A752,indicative,7619,0.0,0.0,0.0,1.0,5327,0.0,0.0,0.0,1.0
T-V-MNSP1,Basslink,forward,N-JNWG_RADIAL,indicative,2316,0.0,0.0,0.0,1.0,2430,0.0,0.0,0.0,1.0
T-V-MNSP1,Basslink,reverse,N-JNWG_RADIAL,indicative,2316,0.06174438687392055,0.0,0.7120034542314335,0.22625215889464595,2430,0.0,0.0,0.0,1.0
T-V-MNSP1,Basslink,forward,N-LDTW_84,supported,2436,0.0,0.0,0.0,1.0,4350,0.0,0.0,0.0,1.0
T-V-MNSP1,Basslink,reverse,N-LDTW_84,supported,2436,0.0,0.0,0.16666666666666666,0.8333333333333334,4337,0.0,0.0,0.001152870647913304,0.9988471293520867
T-V-MNSP1,Basslink,forward,N-LTWG_RADIAL,indicative,666,0.0,0.0,0.0,1.0,1428,0.0,0.0,0.0,1.0
T-V-MNSP1,Basslink,reverse,N-LTWG_RADIAL,indicative,666,0.0015015015015015015,0.0,0.35135135135135137,0.6471471471471472,1614,0.0,0.0,0.0,1.0
T-V-MNSP1,Basslink,forward,N-MMWB_ONE,indicative,270,0.0,0.0,0.0,1.0,816,0.0,0.0,0.0,1.0
T-V-MNSP1,Basslink,reverse,N-MMWB_ONE,indicative,270,0.0,0.0,0.34444444444444444,0.6555555555555556,816,0.0,0.0,0.0,1.0
T-V-MNSP1,Basslink,forward,N-TWUL_85,supported,3797,0.0,0.0,0.025546484066368186,0.9744535159336318,4542,0.0,0.0,0.0,1.0
T-V-MNSP1,Basslink,reverse,N-TWUL_85,supported,3797,0.0,0.0,0.03213062944429813,0.9678693705557019,4854,0.0,0.0,0.0,1.0
T-V-MNSP1,Basslink,forward,Q-X_BRHA_TWO,supported,852,0.0,0.0,0.0,1.0,2400,0.0,0.0,0.0,1.0
T-V-MNSP1,Basslink,reverse,Q-X_BRHA_TWO,supported,852,0.0,0.0,0.897887323943662,0.10211267605633803,2400,0.0,0.0,0.0,1.0
T-V-MNSP1,Basslink,forward,Q-X_BRTX1+BRHA,unsupported,96,0.0,0.0,0.0,1.0,252,0.0,0.0,0.0,1.0
T-V-MNSP1,Basslink,reverse,Q-X_BRTX1+BRHA,unsupported,96,0.0,0.0,1.0,0.0,252,0.0,0.0,0.0,1.0
T-V-MNSP1,Basslink,forward,S-TBSE,supported,12105,0.0,0.0,0.0,1.0,21192,0.0,0.0,0.0,1.0
T-V-MNSP1,Basslink,reverse,S-TBSE,supported,12105,0.0,0.06765799256505577,0.006856670797191243,0.925485336637753,21282,0.0,0.0006578329104407481,0.0,0.9993421670895593
T-V-MNSP1,Basslink,forward,V-CRML,supported,1740,0.0,0.0,0.253448275862069,0.746551724137931,4296,0.0,0.0,0.0,1.0
T-V-MNSP1,Basslink,reverse,V-CRML,supported,1740,0.0,0.08045977011494253,0.08333333333333333,0.8362068965517241,4308,0.0,0.0,0.0,1.0
T-V-MNSP1,Basslink,forward,V-DDMS,supported,2190,0.0,0.0,0.0,1.0,4944,0.0,0.0,0.0,1.0
