ic,name,GENCONSETID,lead_forward,lead_reverse,invoked_share,relevant,excluded_reason
NSW1-QLD1,QNI,#R034131_RAMP,13,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R034157_RAMP,13,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R034214_RAMP,0,12,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R034228_RAMP,13,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R034283_RAMP,14,19,9.037290715372907e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R034295_RAMP,0,12,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R034298_RAMP,9,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R034318_RAMP,13,9,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R034333_RAMP,12,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R034339_RAMP,13,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R034347_RAMP,4,5,2.378234398782344e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R034354_RAMP,5,5,2.378234398782344e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R034358_RAMP,9,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R034368_RAMP,9,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R034401_RAMP,13,12,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R034407_RAMP,13,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R034420_RAMP,13,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R034511_RAMP,14,0,6.659056316590563e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R034526_RAMP,13,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R034531_RAMP,13,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R034542_RAMP,4,0,1.9025875190258754e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R034546_RAMP,7,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R034561_RAMP,13,0,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R034570_RAMP,10,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R034581_RAMP,0,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R034772_RAMP,13,13,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R034780_RAMP,0,11,6.183409436834095e-05,False,ramp/discretionary (#)
NSW1-QLD1,QNI,#R034828_RAMP,10,0,4.756468797564688e-05,False,ramp/discretionary (#)
