ic,name,direction,GENCONSETID,during_leader_1,during_share_1,during_top3,before_top3,leader_changed_share
VIC1-NSW1,VNI,reverse,S-TBSE,N^^V_NIL_1,0.37546933667083854,N^^V_NIL_1 (38%); N^^V_NIL_ARWBBA (20%); N^^V_MLNK_1 (15%),N^^V_NIL_1 (42%); N^^V_NIL_ARWBBA (14%); N^^V_MLNK_1 (9%),0.1125
VIC1-NSW1,VNI,reverse,V-ARCW,N^^V_CTMN_1,0.6666666666666666,N^^V_CTMN_1 (67%); N^^V_NIL_1 (19%); V>>NIL_MLGT_MLGT (7%),N^^V_CTMN_1 (50%); N^^V_NIL_1 (50%),0.0
VIC1-NSW1,VNI,reverse,V-DDMS,N^^V_MSDD2,0.3566666666666667,N^^V_MSDD2 (36%); N^^V_MSDD1 (24%); N^^V_NIL_ARWBBA (14%),N^^V_NIL_ARWBBA (25%); N^^V_MSDD2 (19%); #R030750_005_RAMP_V (6%),0.3125
VIC1-NSW1,VNI,reverse,V-DDSM,N^^V_DDSM1,0.35877862595419846,N^^V_DDSM1 (36%); N^^V_LTUT_1 (15%); N^^V_NIL_1 (12%),I_6F_NS_150 (17%); N^^V_NIL_ARWBBA (17%); N^^V_CTMN_1 (8%),0.5
VIC1-NSW1,VNI,reverse,V-HYMO,N^^V_NIL_1,0.37593984962406013,N^^V_NIL_1 (38%); N^^V_NIL_ARWBBA (24%); N^^V_CNCW_1 (17%),N^^V_NIL_ARWBBA (62%); V>>BDBU_ELML_BAML2 (12%); N^^V_4+07_1 (12%),0.375
VIC1-NSW1,VNI,reverse,V-KG_WE_RC,N^^V_CTMN_1,0.436241610738255,N^^V_CTMN_1 (44%); N^^V_NIL_1 (43%); N>>BDBU_996_6Y (4%),N^^V_CTMN_1 (33%); N^^V_NIL_1 (33%); N^^V_MSDD1 (8%),0.08333333333333333
VIC1-NSW1,VNI,reverse,V-KMRC,N^^V_NIL_1,0.371875,N^^V_NIL_1 (37%); N^^V_4+07_1 (25%); N^^V_NIL_ARWBBA (7%),N^^V_NIL_1 (43%); N^^V_4+07_1 (10%); N^^V_NIL_ARWBBA (10%),0.14285714285714285
VIC1-NSW1,VNI,reverse,V-MLSY_NOEMTT_R,N^^V_NIL_ARWBBA,0.3077984817115252,N^^V_NIL_ARWBBA (31%); N^^V_NIL_1 (29%); N^^V_CTMN_1 (24%),N^^V_NIL_ARWBBA (34%); N^^V_NIL_1 (25%); N^^V_CTMN_1 (20%),0.13114754098360656
VIC1-NSW1,VNI,reverse,V-MRKM,N^^V_NIL_1,0.47368421052631576,N^^V_NIL_1 (47%); N^^V_LTUT_1 (13%); N^^V_CTMN_1 (12%),N^^V_NIL_1 (43%); N^^V_LTUT_1 (21%); #R032402_047_RAMP_V (7%),0.14285714285714285
V-SA,Heywood,forward,I-X_BDBU+HYSE,F_S++HYSE_L5,0.5294117647058824,F_S++HYSE_L5 (53%); I_6F_NS_150 (19%); F_S++HYSE_L60 (16%),VS_600_TEST (50%); I_6F_NS_150 (50%),0.0
V-SA,Heywood,forward,N-BABU,V_S_HEYWOOD_UFLS,0.17433414043583534,V_S_HEYWOOD_UFLS (17%); VS_600_TEST (15%); I_6F_NS_150 (12%),VS_600_TEST (18%); V_S_NIL_ROCOF (15%); I_6F_NS_150 (12%),0.225
V-SA,Heywood,forward,S-BGDV,V_S_HEYWOOD_UFLS,0.22554347826086957,V_S_HEYWOOD_UFLS (23%); V_S_NIL_ROCOF (20%); I_6F_NS_150 (18%),V_S_NIL_ROCOF (44%); I_6F_NS_150 (22%); V::S_BDBU_MAXG_1 (11%),0.3333333333333333
V-SA,Heywood,forward,S-KNPW,S>>NIL_BWMP_RBTU,0.22317596566523606,S>>NIL_BWMP_RBTU (22%); I_6F_NS_150 (20%); V::S_KNPW_SETB_2 (10%),I_6F_NS_150 (20%); V:S_BLKRG_570 (20%); V::N_JNWG_S2 (10%),0.6
V-SA,Heywood,forward,S-PA_VC1,V_S_HEYWOOD_UFLS,0.16565040650406504,V_S_HEYWOOD_UFLS (17%); VS_600_TEST (16%); V_S_NIL_ROCOF (14%),I_6F_NS_150 (26%); V_S_NIL_ROCOF (19%); V::N_NIL_V2 (9%),0.44680851063829785
V-SA,Heywood,forward,S-RBTU,VS_600_TEST,0.2003780718336484,VS_600_TEST (20%); S>>X_BRMN_RBTU_04 (15%); V_S_HEYWOOD_UFLS (15%),I_6F_NS_150 (17%); V_S_HEYWOOD_UFLS (13%); S>>X_BRMN_RBTU_04 (10%),0.3
V-SA,Heywood,forward,S-SECB6611_10,I_6F_NS_150,0.18674698795180722,I_6F_NS_150 (19%); VS_HEY_600_TEST (13%); F_S++TBTU_L5 (11%),I_6F_NS_150 (21%); F_S++TBTU_L5 (9%); VS_HEY_600_TEST (8%),0.3448275862068966
