layer,lead_band,name,direction,rows,bookings,origins,brier_outlook,brier_normal,brier_lastyear,skill_vs_normal,skill_vs_lastyear,events,test_rows,test_events,alert_threshold,recall,precision,false_alerts,skilful
setter,0-7,VNI,forward,405,121,12,0.02536785890410263,0.012984923040303666,0.02650977639485078,-0.9536395268084219,0.04307533468935465,27,255,20,0.21,0.1,0.07407407407407407,25,False
setter,0-7,VNI,reverse,411,113,12,0.10613180411037738,0.09078333641739428,0.11227010632981335,-0.16906701492458365,0.05467441352022606,104,273,70,0.21,0.6857142857142857,0.35555555555555557,87,False
setter,31-90,Basslink,forward,645,162,11,0.16023318327089323,0.251930528806321,0.18137350090646898,0.3639786967061971,0.11655681524544992,112,342,66,0.21,0.42424242424242425,0.1794871794871795,128,True
setter,31-90,Basslink,reverse,618,157,11,0.12128058945737108,0.1747219103394544,0.10072997852528563,0.3058650216120925,-0.2040168302719012,110,342,77,0.21,0.2077922077922078,0.16326530612244897,82,True
setter,31-90,Directlink,forward,1233,257,11,0.05862035935403272,0.04223524733932662,0.014031358125868585,-0.38794876428838587,-3.1778107883910867,400,546,178,0.21,1.0,0.7542372881355932,58,False
setter,31-90,Directlink,reverse,1356,269,11,0.07952696953680545,0.07261843029947057,0.07547784183557225,-0.09513479166163208,-0.053646574978311934,399,576,146,0.21,0.8013698630136986,0.5707317073170731,88,False
setter,31-90,Heywood,forward,852,178,11,0.05464607114299773,0.03974690709814815,0.05602009680948595,-0.37485090369569285,0.024527370439237695,258,525,124,0.21,0.3064516129032258,0.35185185185185186,70,False
setter,31-90,Heywood,reverse,954,198,11,0.05523413395328742,0.04289631374425382,0.04515371161507958,-0.28761959087186884,-0.22324681576877015,252,537,138,0.21,0.572463768115942,0.4540229885057471,95,False
setter,31-90,Murraylink,forward,1272,233,11,0.06200171600162666,0.04580698808020327,0.05762853788266541,-0.35354273660316005,-0.07588563374391466,367,693,156,0.21,0.6282051282051282,0.5212765957446809,90,False
setter,31-90,Murraylink,reverse,1143,216,11,0.04929952490138346,0.028200288012293476,0.04465085722143283,-0.7481922482455534,-0.10411149906701511,350,678,206,0.21,0.5242718446601942,0.5654450261780105,83,False
setter,31-90,QNI,forward,1452,294,11,0.08384124429253888,0.06737848957916272,0.07866584822587282,-0.24433249863866613,-0.0657896175199939,302,723,151,0.21,0.9205298013245033,0.42249240121580545,190,False
setter,31-90,QNI,reverse,1941,374,11,0.08524380256682342,0.07746107963794358,0.09892807499009601,-0.10047268854573965,0.13832546953574676,423,1089,151,0.21,0.48344370860927155,0.10846953937592868,600,False
setter,31-90,VNI,forward,1482,312,11,0.03132335563211569,0.02302422940606529,0.029766741015792485,-0.36045185615915365,-0.05229375347127707,164,750,95,0.21,0.14736842105263157,0.13861386138613863,87,False
setter,31-90,VNI,reverse,1641,303,11,0.08823616801981694,0.08409049122827705,0.09067069823351738,-0.049300185205076064,0.0268502422627257,506,810,220,0.21,0.6272727272727273,0.39655172413793105,210,False
setter,8-30,Basslink,forward,360,118,11,0.1853397703298187,0.18457418782896953,0.18004646293626014,-0.004147830798305163,-0.02939967443532887,51,255,42,0.21,0.42857142857142855,0.1565217391304348,97,False
setter,8-30,Basslink,reverse,381,125,11,0.12647596067660505,0.13885252013900995,0.110821958280716,0.08913456846166212,-0.14125361651015855,65,255,47,0.21,0.2765957446808511,0.14772727272727273,75,True
