ic,name,direction,GENCONSETID,DUID,tightening_per_hh_treated,tightening_per_hh_base,relief_per_hh_treated,relief_per_hh_base,excess_tightening,excess_relief,treated_half_hours,base_half_hours
V-S-MNSP1,Murraylink,reverse,V-DDSM,WLWLSF1,6.243160359220243,46.874143330808025,42.16370269599023,46.62953492768354,-40.630982971587784,-4.465832231693305,153,11347
V-S-MNSP1,Murraylink,reverse,V-DDSM,SUNRSF1,50.304029563010545,43.54902837683802,78.06226153951064,40.45833452738169,6.755001186172528,37.603927012128956,153,11347
V-S-MNSP1,Murraylink,reverse,V-DDSM,MUWAWF2,37.24243073267631,8.565905328453912,22.299938484306097,7.00321848251449,28.6765254042224,15.296720001791606,153,11347
V-S-MNSP1,Murraylink,reverse,V-DDSM,WLWLSF2,6.164097380858552,46.44061289804829,41.87819965125566,45.445597376360325,-40.27651551718974,-3.5673977251046622,153,11347
V-S-MNSP1,Murraylink,reverse,V-DDSM,COLEASF1,7.973352163766233,35.29307469875586,19.087399017135844,33.11193061693967,-27.319722534989626,-14.024531599803822,153,11347
V-S-MNSP1,Murraylink,forward,V-HYMO,MCKAY1,27.96311852280495,2.4084902638686914,23.135830894308945,0.9534598527604077,25.55462825893626,22.18237104154854,100,7204
V-S-MNSP1,Murraylink,forward,V-HYMO,GSWF1A,22.804304361501117,4.7982528473297466,21.552440572177332,3.666911517018284,18.00605151417137,17.885529055159047,100,7204
V-S-MNSP1,Murraylink,forward,V-HYMO,PAREPW1,17.566187311858325,4.20264738347793,12.689893777642405,2.9216653653931126,13.363539928380394,9.768228412249293,100,7204
V-S-MNSP1,Murraylink,forward,V-HYMO,SNOWTWN1,14.942405519779884,4.725961788453156,13.497383597135453,2.2063709417198716,10.216443731326727,11.291012655415582,100,7204
V-S-MNSP1,Murraylink,forward,V-HYMO,KESSB1,21.235870587837542,8.169393260631725,14.72737899926892,6.855609766284668,13.066477327205817,7.871769232984252,100,7204
V-S-MNSP1,Murraylink,forward,V-HYMO,WGWF1,11.076867283214746,2.5764490945240963,11.76648953166967,2.267206125623825,8.500418188690649,9.499283406045844,100,7204
V-S-MNSP1,Murraylink,forward,V-HYMO,GSWF1B1,15.263313359628501,5.788275983304922,12.713207333703973,4.459827815088903,9.475037376323579,8.25337951861507,100,7204
V-S-MNSP1,Murraylink,forward,V-HYMO,WPWF,16.702244187744228,3.669065645807186,7.999370809739208,3.3578580456981637,13.03317854193704,4.641512764041044,100,7204
V-S-MNSP1,Murraylink,forward,V-HYMO,HALLWF1,10.317181684050551,1.7838974062984665,8.900213348630551,1.1822512748997573,8.533284277752085,7.717962073730794,100,7204
V-S-MNSP1,Murraylink,forward,V-HYMO,LGAPWF1,10.140687307025878,1.7143738679230658,7.379868592816859,0.8769310286055458,8.426313439102813,6.502937564211313,100,7204
V-S-MNSP1,Murraylink,reverse,V-HYMO,CUSF1,246.69725764418433,40.965394583381546,195.4170965044593,31.47436509258823,205.7318630608028,163.94273141187108,100,7204
V-S-MNSP1,Murraylink,reverse,V-HYMO,LIMOSF11,113.46707004922365,34.909152455732205,76.886667385678,32.636831814768286,78.55791759349145,44.24983557090971,100,7204
V-S-MNSP1,Murraylink,reverse,V-HYMO,SUNRSF1,98.26937139745833,28.91718586589113,55.33127809735047,28.389804112952476,69.3521855315672,26.941473984397994,100,7204
V-S-MNSP1,Murraylink,reverse,V-HYMO,MURRAY,1.618410631488812,42.16050323538726,3.4746632030245745,58.69227095210457,-40.542092603898446,-55.217607749079995,100,7204
V-S-MNSP1,Murraylink,reverse,V-HYMO,GESF1,60.08676372352286,12.998007838001678,56.59259539947975,13.458393512864172,47.08875588552118,43.13420188661558,100,7204
V-S-MNSP1,Murraylink,reverse,V-HYMO,WLWLSF2,64.14168390519325,15.716556583522205,59.141195183598256,18.094893004924355,48.42512732167104,41.0463021786739,100,7204
V-S-MNSP1,Murraylink,reverse,V-HYMO,WLWLSF1,63.662399041545896,16.185577177655784,58.77348867688618,18.61930641455481,47.47682186389011,40.154182262331375,100,7204
V-S-MNSP1,Murraylink,reverse,V-HYMO,KIAMSF1,66.85871377930268,17.533330094546773,49.17665805109457,13.874023431929247,49.325383684755906,35.302634619165325,100,7204
V-S-MNSP1,Murraylink,reverse,V-HYMO,AVLSF1,82.60516945621913,26.617466328036706,44.0587540687271,19.819580671931178,55.987703128182424,24.23917339679592,100,7204
V-S-MNSP1,Murraylink,reverse,V-HYMO,MOORAWF1,44.63305938506966,8.961593506465674,46.54891844023606,6.84439670342021,35.67146587860398,39.70452173681585,100,7204
V-S-MNSP1,Murraylink,forward,V-KG_WE_RC,MURRAY,10.849962862637087,28.262513033078008,1.176426987722362,16.443150024127608,-17.412550170440923,-15.266723036405246,140,5648
V-S-MNSP1,Murraylink,forward,V-KG_WE_RC,STWF1,0.7209895604561826,13.143489723329054,2.6600890898071876,11.068540547961767,-12.422500162872872,-8.40845145815458,140,5648
V-S-MNSP1,Murraylink,forward,V-KG_WE_RC,LIMOSF11,0.0,8.642283832923223,1.247569318127251,11.954608426732364,-8.642283832923223,-10.707039108605112,140,5648
V-S-MNSP1,Murraylink,forward,V-KG_WE_RC,DARLSF1,0.632288025210084,9.261720681628708,0.0,8.285838184727421,-8.629432656418624,-8.285838184727421,140,5648
V-S-MNSP1,Murraylink,forward,V-KG_WE_RC,SUNRSF1,0.0,7.949481716310633,1.3194642280912365,9.93119047231525,-7.949481716310633,-8.611726244224014,140,5648
V-S-MNSP1,Murraylink,forward,V-KG_WE_RC,DARTM1,0.0,8.230540337246751,0.0,5.026079154340392,-8.230540337246751,-5.026079154340392,140,5648
V-S-MNSP1,Murraylink,forward,V-KG_WE_RC,MACARTH1,0.005300191204588913,6.358130516497899,0.0,3.8033974186260116,-6.35283032529331,-3.8033974186260116,140,5648
V-S-MNSP1,Murraylink,forward,V-KG_WE_RC,COLEASF1,0.2999123697478992,4.895420695245401,0.20089499999999993,5.17540059223488,-4.595508325497502,-4.9745055922348795,140,5648
V-S-MNSP1,Murraylink,forward,V-KG_WE_RC,MOORAWF1,0.19896804638865362,4.114941706317309,0.6557214936209247,4.152744736694974,-3.915973659928655,-3.497023243074049,140,5648
V-S-MNSP1,Murraylink,forward,V-KG_WE_RC,STOCKYD1,0.0,2.1687348398978696,0.0,4.845957284343811,-2.1687348398978696,-4.845957284343811,140,5648
V-S-MNSP1,Murraylink,reverse,V-KG_WE_RC,AVLSF1,122.03578853811328,35.06106640273972,134.29969121936588,27.331104517517343,86.97472213537355,106.96858670184854,140,5648
V-S-MNSP1,Murraylink,reverse,V-KG_WE_RC,MURRAY,50.42104307314891,52.159054152407,188.0095185852007,59.22091774808181,-1.7380110792580936,128.7886008371189,140,5648
V-S-MNSP1,Murraylink,reverse,V-KG_WE_RC,UPPTUMUT,123.14515330911917,17.962076436326576,21.086429205143713,13.396952205756296,105.18307687279258,7.689476999387416,140,5648
V-S-MNSP1,Murraylink,reverse,V-KG_WE_RC,SEBSF1,54.42913648209003,11.303543933083752,69.87196048693438,13.319142407284808,43.12559254900628,56.552818079649576,140,5648
V-S-MNSP1,Murraylink,reverse,V-KG_WE_RC,HILLSTN1,66.7423271428909,18.866437527500405,55.15812438691285,16.14186418568045,47.87588961539049,39.0162602012324,140,5648
V-S-MNSP1,Murraylink,reverse,V-KG_WE_RC,WSTWYSF1,49.43043248297941,9.73535120893124,55.16059150913349,11.882802808928462,39.69508127404817,43.27778870020503,140,5648
V-S-MNSP1,Murraylink,reverse,V-KG_WE_RC,URANQ12,82.77437949735449,6.872290164792935,1.6647201719576734,0.6394769452486397,75.90208933256156,1.0252432267090337,140,5648
V-S-MNSP1,Murraylink,reverse,V-KG_WE_RC,TUMUT3,75.26403422479737,15.763882359789653,25.6107803234127,9.182262797696481,59.500151865007716,16.42851752571622,140,5648
V-S-MNSP1,Murraylink,reverse,V-KG_WE_RC,SNOWYP,65.17271885354143,14.677634320148744,24.674252037762454,12.477625415189427,50.495084533392685,12.196626622573026,140,5648
V-S-MNSP1,Murraylink,reverse,V-KG_WE_RC,WYASF1,38.24005237944867,6.670193074964766,33.74786199577696,6.42004671834797,31.569859304483906,27.32781527742899,140,5648
V-S-MNSP1,Murraylink,reverse,V-KMRC,MURRAY,148.93929808291915,64.35070000738952,321.8156330435167,84.59003259449261,84.58859807552963,237.22560044902409,308,9876
V-S-MNSP1,Murraylink,reverse,V-KMRC,UPPTUMUT,172.11050418404687,48.356854503402175,41.458796853104886,18.55729572837307,123.7536496806447,22.901501124731816,308,9876
V-S-MNSP1,Murraylink,reverse,V-KMRC,CUSF1,70.11541943114855,52.747252331192826,68.08633195630456,38.68641831606269,17.368167099955727,29.39991364024187,308,9876
V-S-MNSP1,Murraylink,reverse,V-KMRC,DARLSF1,9.40526388040259,37.54565043400482,25.318116825449902,39.44386230026894,-28.14038655360223,-14.125745474819038,308,9876
V-S-MNSP1,Murraylink,reverse,V-KMRC,TUMUT3,60.58304435228638,28.590265862883417,13.509732701591197,16.094978152652693,31.992778489402962,-2.585245451061496,308,9876
V-S-MNSP1,Murraylink,reverse,V-KMRC,URANQ14,38.21006987132937,9.860721155934709,2.8914804059805745,1.906311272968938,28.349348715394658,0.9851691330116366,308,9876
V-S-MNSP1,Murraylink,reverse,V-KMRC,SUNRSF1,7.088733544404874,28.947201349243688,23.309296877763682,30.639498931484326,-21.858467804838813,-7.330202053720644,308,9876
