target_ic,target_name,direction,GENCONSETID,relation,relevant_to,tier,n_units,any_binding_treated,any_binding_control,any_binding_diff,ci_lo,ci_hi
N-Q-MNSP1,Directlink,reverse,I-SV_HEY_250,not relevant (spillover),Heywood,unsupported,44,0.1553030303030303,0.17727272727272728,-0.02196969696969697,-0.03222222222222222,0.0
N-Q-MNSP1,Directlink,forward,I-VSML_044,not relevant (spillover),Murraylink,supported,92,0.14673913043478262,0.14341787439613526,0.003321256038647347,-0.14063576658053403,0.1446696859903381
N-Q-MNSP1,Directlink,reverse,I-VSML_044,not relevant (spillover),Murraylink,supported,92,0.2391304347826087,0.25875603864734303,-0.019625603864734296,-0.1744702168746286,0.15440178571428573
N-Q-MNSP1,Directlink,forward,I-VSML_088,not relevant (spillover),Murraylink,supported,62,0.056451612903225805,0.14292114695340502,-0.08646953405017922,-0.18210784313725492,-0.01234152421652422
N-Q-MNSP1,Directlink,reverse,I-VSML_088,not relevant (spillover),Murraylink,supported,62,0.35215053763440857,0.20112007168458781,0.15103046594982078,-0.005691964285714282,0.2803494623655914
N-Q-MNSP1,Directlink,forward,I-VSML_132,not relevant (spillover),Murraylink,supported,90,0.17222222222222222,0.0884567901234568,0.08376543209876543,-0.016341666666666664,0.19257738095238086
N-Q-MNSP1,Directlink,reverse,I-VSML_132,not relevant (spillover),Murraylink,supported,90,0.36851851851851847,0.25015432098765433,0.11836419753086419,-0.0036682776526526456,0.2672975861301805
N-Q-MNSP1,Directlink,forward,I-VSML_176,not relevant (spillover),Murraylink,supported,59,0.1271186440677966,0.12372881355932204,0.0033898305084745697,-0.102953216374269,0.1570975815244325
N-Q-MNSP1,Directlink,reverse,I-VSML_176,not relevant (spillover),Murraylink,supported,59,0.22033898305084745,0.10070621468926555,0.1196327683615819,-0.02361350574712644,0.29239766081871343
N-Q-MNSP1,Directlink,forward,I-VS_HEY_250,not relevant (spillover),Heywood,unsupported,44,0.0,0.0026515151515151517,-0.0026515151515151517,-0.008333333333333333,0.0
N-Q-MNSP1,Directlink,reverse,I-VS_HEY_250,not relevant (spillover),Heywood,unsupported,44,0.1553030303030303,0.17727272727272728,-0.02196969696969697,-0.03222222222222222,0.0
N-Q-MNSP1,Directlink,forward,I-X_64_DDSM,not relevant (spillover),Murraylink|VNI,unsupported,15,0.27777777777777773,0.06981481481481482,0.207962962962963,0.207962962962963,0.207962962962963
N-Q-MNSP1,Directlink,reverse,I-X_64_DDSM,not relevant (spillover),Murraylink|VNI,unsupported,15,0.11111111111111112,0.35777777777777775,-0.2466666666666666,-0.2466666666666666,-0.2466666666666666
N-Q-MNSP1,Directlink,forward,I-X_6F_KMRC,not relevant (spillover),Murraylink,indicative,22,0.10606060606060605,0.16186868686868688,-0.05580808080808082,-0.05580808080808082,-0.05580808080808082
N-Q-MNSP1,Directlink,reverse,I-X_6F_KMRC,not relevant (spillover),Murraylink,indicative,22,0.5606060606060606,0.31085858585858583,0.24974747474747475,0.2497474747474748,0.2497474747474748
N-Q-MNSP1,Directlink,forward,I-X_BABU_BURC,not relevant (spillover),Murraylink|VNI,unsupported,45,0.03333333333333333,0.0,0.03333333333333333,0.0,0.07142857142857142
N-Q-MNSP1,Directlink,reverse,I-X_BABU_BURC,not relevant (spillover),Murraylink|VNI,unsupported,45,0.10370370370370369,0.20888888888888885,-0.1051851851851852,-0.22539682539682537,0.0
N-Q-MNSP1,Directlink,forward,I-X_BDBU+HYSE,not relevant (spillover),Heywood|Murraylink|VNI,supported,85,0.00196078431372549,0.04052287581699346,-0.038562091503267976,-0.07609427609427609,0.0
N-Q-MNSP1,Directlink,reverse,I-X_BDBU+HYSE,not relevant (spillover),Heywood|Murraylink|VNI,unsupported,85,0.27254901960784317,0.31977124183006533,-0.047222222222222214,-0.1991269841269841,0.19673202614379084
N-Q-MNSP1,Directlink,forward,N-4+1_WG_CLOSE,not relevant (spillover),VNI,unsupported,16,0.21875,0.0,0.21875,0.21874999999999997,0.21874999999999997
N-Q-MNSP1,Directlink,reverse,N-4+1_WG_CLOSE,not relevant (spillover),VNI,unsupported,16,0.21875,0.08541666666666667,0.1333333333333333,0.1333333333333333,0.1333333333333333
N-Q-MNSP1,Directlink,forward,N-ARDM_8C,not relevant (spillover),QNI,supported,3045,0.08752052545155993,0.03862160189746396,0.048898923554095974,0.019954490614998665,0.0805185243932461
N-Q-MNSP1,Directlink,reverse,N-ARDM_8C,not relevant (spillover),QNI,supported,3045,0.0802408319649699,0.1509478197409232,-0.07070698777595329,-0.09794568540177698,-0.04555057359477546
N-Q-MNSP1,Directlink,forward,N-ARKS_965,not relevant (spillover),QNI,indicative,150,0.0,0.011925925925925925,-0.011925925925925925,-0.03531420765027322,-0.0008137478764024161
N-Q-MNSP1,Directlink,reverse,N-ARKS_965,not relevant (spillover),QNI,indicative,150,0.14444444444444443,0.2616111111111112,-0.11716666666666671,-0.2734797297297297,0.15675248419150856
N-Q-MNSP1,Directlink,forward,N-ARSR_8E,not relevant (spillover),QNI,supported,1430,0.1544988344988345,0.1074941724941725,0.047004662004662,-0.013853782957357693,0.10257817834681043
N-Q-MNSP1,Directlink,reverse,N-ARSR_8E,not relevant (spillover),QNI,unsupported,1430,0.0543123543123543,0.1606759906759907,-0.10636363636363635,-0.1333831341353481,-0.07298309779875571
N-Q-MNSP1,Directlink,forward,N-BABU,not relevant (spillover),Heywood|Murraylink|VNI,supported,977,0.14824292050494708,0.07256340270669852,0.07567951779824862,0.008783336992210908,0.15528362411125285
N-Q-MNSP1,Directlink,reverse,N-BABU,not relevant (spillover),Heywood|Murraylink|VNI,unsupported,977,0.0694302285909246,0.12267428636415331,-0.05324405777322871,-0.10509591795870205,-0.004057279068211668
N-Q-MNSP1,Directlink,forward,N-BADP,not relevant (spillover),Murraylink|VNI,supported,181,0.007366482504604051,0.031445672191528544,-0.024079189686924494,-0.06115697794269223,-0.000657103933725475
N-Q-MNSP1,Directlink,reverse,N-BADP,not relevant (spillover),Murraylink|VNI,supported,181,0.13627992633517497,0.2157305095150399,-0.07945058317986495,-0.21924126754526949,0.05439280744158788
N-Q-MNSP1,Directlink,forward,N-BJYS_970,not relevant (spillover),Murraylink|VNI,unsupported,137,0.14233576642335766,0.002980535279805353,0.13935523114355233,0.04986979166666666,0.28915989159891603
N-Q-MNSP1,Directlink,reverse,N-BJYS_970,not relevant (spillover),Murraylink|VNI,unsupported,137,0.0,0.1228507704785077,-0.1228507704785077,-0.20658295281582956,-0.027343750000000003
N-Q-MNSP1,Directlink,forward,N-BU_330_TX_ONE,not relevant (spillover),VNI,indicative,1072,0.03296019900497512,0.017203047263681593,0.01575715174129353,-0.011320162180751896,0.051278532714061985
N-Q-MNSP1,Directlink,reverse,N-BU_330_TX_ONE,not relevant (spillover),VNI,indicative,1072,0.08115671641791045,0.10229322139303483,-0.02113650497512438,-0.06467703227124183,0.026889473001038406
N-Q-MNSP1,Directlink,forward,N-BU_7118,not relevant (spillover),Murraylink,unsupported,300,0.0038888888888888883,0.003990740740740741,-0.00010185185185185186,-0.0038095235542978025,0.004531955573069457
N-Q-MNSP1,Directlink,reverse,N-BU_7118,not relevant (spillover),Murraylink,unsupported,300,0.11,0.07670370370370369,0.03329629629629629,-0.07556028382786195,0.13581088557329013
N-Q-MNSP1,Directlink,forward,N-CLDE_99L_C,not relevant (spillover),Murraylink,supported,651,0.07296466973886329,0.08420805598224952,-0.01124338624338625,-0.048857954761361906,0.020136994967299975
N-Q-MNSP1,Directlink,reverse,N-CLDE_99L_C,not relevant (spillover),Murraylink,supported,651,0.15360983102918585,0.16025345622119813,-0.0066436251920122934,-0.048985200706238616,0.03875496179675373
N-Q-MNSP1,Directlink,forward,N-CNLT_07,not relevant (spillover),Murraylink|VNI,supported,1606,0.060502283105022814,0.08418257921682579,-0.023680296111802963,-0.05724431801236773,0.01230425947056341
N-Q-MNSP1,Directlink,reverse,N-CNLT_07,not relevant (spillover),Murraylink|VNI,unsupported,1606,0.11270236612702367,0.06992355057423551,0.04277881555278816,0.006848227898436825,0.08033829833840174
N-Q-MNSP1,Directlink,forward,N-CTMN_4_WG_CLOSE,not relevant (spillover),Murraylink|VNI,supported,2254,0.03978112984324164,0.06687247362713201,-0.02709134378389037,-0.0565967322220102,0.009969560809082163
