ic,name,direction,GENCONSETID,tier,lag_days,group,n_units,own_treated,own_control,own_diff,any_diff
N-Q-MNSP1,Directlink,reverse,Q-RGLC_8875,unsupported,7,booked_in_advance,302,0.0,0.0,0.0,-0.040194996320824135
N-Q-MNSP1,Directlink,reverse,Q-RGLC_8875,unsupported,14,booked_in_advance,245,0.0,0.0,0.0,-0.06349206349206349
N-Q-MNSP1,Directlink,reverse,Q-RGLC_8875,unsupported,14,not_booked_in_advance,57,0.0,0.0,0.0,0.05994152046783625
NSW1-QLD1,QNI,forward,CA_BRIS_59712B29,unsupported,1,booked_in_advance,55,0.0,0.0,0.0,0.0
NSW1-QLD1,QNI,forward,CA_BRIS_59712B29,unsupported,7,booked_in_advance,55,0.0,0.0,0.0,0.0
NSW1-QLD1,QNI,forward,CA_BRIS_59712B29,unsupported,14,booked_in_advance,55,0.0,0.0,0.0,0.0
NSW1-QLD1,QNI,reverse,CA_BRIS_59712B29,unsupported,1,booked_in_advance,55,0.09090909090909091,0.0,0.09090909090909091,0.05373737373737376
NSW1-QLD1,QNI,reverse,CA_BRIS_59712B29,unsupported,7,booked_in_advance,55,0.09090909090909091,0.0,0.09090909090909091,0.05373737373737376
NSW1-QLD1,QNI,reverse,CA_BRIS_59712B29,unsupported,14,booked_in_advance,55,0.09090909090909091,0.0,0.09090909090909091,0.05373737373737376
NSW1-QLD1,QNI,forward,CA_SYDS_59839EB2,indicative,1,booked_in_advance,56,0.0,0.0,0.0,0.0
NSW1-QLD1,QNI,forward,CA_SYDS_59839EB2,indicative,7,booked_in_advance,56,0.0,0.0,0.0,0.0
NSW1-QLD1,QNI,forward,CA_SYDS_59839EB2,indicative,14,booked_in_advance,56,0.0,0.0,0.0,0.0
NSW1-QLD1,QNI,reverse,CA_SYDS_59839EB2,indicative,1,booked_in_advance,56,0.23809523809523808,0.0,0.23809523809523808,0.13035714285714287
NSW1-QLD1,QNI,reverse,CA_SYDS_59839EB2,indicative,7,booked_in_advance,56,0.23809523809523808,0.0,0.23809523809523808,0.13035714285714287
NSW1-QLD1,QNI,reverse,CA_SYDS_59839EB2,indicative,14,booked_in_advance,56,0.23809523809523808,0.0,0.23809523809523808,0.13035714285714287
NSW1-QLD1,QNI,forward,I-BCDM_ONE,unsupported,1,booked_in_advance,26,0.20512820512820512,0.0,0.20512820512820512,0.2128205128205128
NSW1-QLD1,QNI,forward,I-BCDM_ONE,unsupported,7,booked_in_advance,26,0.20512820512820512,0.0,0.20512820512820512,0.2128205128205128
NSW1-QLD1,QNI,forward,I-BCDM_ONE,unsupported,14,not_booked_in_advance,26,0.20512820512820512,0.0,0.20512820512820512,0.2128205128205128
NSW1-QLD1,QNI,reverse,I-BCDM_ONE,unsupported,1,booked_in_advance,26,0.42948717948717946,0.0,0.42948717948717946,-0.0465811965811966
NSW1-QLD1,QNI,reverse,I-BCDM_ONE,unsupported,7,booked_in_advance,26,0.42948717948717946,0.0,0.42948717948717946,-0.0465811965811966
NSW1-QLD1,QNI,reverse,I-BCDM_ONE,unsupported,14,not_booked_in_advance,26,0.42948717948717946,0.0,0.42948717948717946,-0.0465811965811966
NSW1-QLD1,QNI,forward,N-ARDM_8C,supported,1,booked_in_advance,2673,0.8393814690110986,0.0,0.8393814690110986,0.7285987446481273
NSW1-QLD1,QNI,forward,N-ARDM_8C,supported,7,booked_in_advance,2673,0.8393814690110986,0.0,0.8393814690110986,0.7285987446481273
NSW1-QLD1,QNI,forward,N-ARDM_8C,supported,14,booked_in_advance,2673,0.8393814690110986,0.0,0.8393814690110986,0.7285987446481273
NSW1-QLD1,QNI,reverse,N-ARDM_8C,supported,1,booked_in_advance,2673,0.1502681132310762,0.014975890593174545,0.13529222263790167,0.05468470715384295
NSW1-QLD1,QNI,reverse,N-ARDM_8C,supported,7,booked_in_advance,2673,0.1502681132310762,0.014975890593174545,0.13529222263790167,0.05468470715384295
NSW1-QLD1,QNI,reverse,N-ARDM_8C,supported,14,booked_in_advance,2673,0.1502681132310762,0.014975890593174545,0.13529222263790167,0.05468470715384295
NSW1-QLD1,QNI,forward,N-ARKS_965,indicative,1,booked_in_advance,133,0.0,0.0,0.0,0.0
NSW1-QLD1,QNI,forward,N-ARKS_965,indicative,7,booked_in_advance,133,0.0,0.0,0.0,0.0
NSW1-QLD1,QNI,forward,N-ARKS_965,indicative,14,booked_in_advance,133,0.0,0.0,0.0,0.0
NSW1-QLD1,QNI,reverse,N-ARKS_965,indicative,1,booked_in_advance,133,0.0,0.0,0.0,-0.12535505430242275
NSW1-QLD1,QNI,reverse,N-ARKS_965,indicative,7,booked_in_advance,133,0.0,0.0,0.0,-0.12535505430242275
NSW1-QLD1,QNI,reverse,N-ARKS_965,indicative,14,booked_in_advance,133,0.0,0.0,0.0,-0.12535505430242275
NSW1-QLD1,QNI,forward,N-ARSR_8E,supported,1,booked_in_advance,1613,0.8319487497416821,0.0,0.8319487497416821,0.7593321622924846
NSW1-QLD1,QNI,forward,N-ARSR_8E,supported,7,booked_in_advance,1613,0.8319487497416821,0.0,0.8319487497416821,0.7593321622924846
NSW1-QLD1,QNI,forward,N-ARSR_8E,supported,14,booked_in_advance,1613,0.8319487497416821,0.0,0.8319487497416821,0.7593321622924846
NSW1-QLD1,QNI,reverse,N-ARSR_8E,supported,1,booked_in_advance,1613,0.1765860715023765,0.003871323276158986,0.17271474822621752,0.07268375008610593
NSW1-QLD1,QNI,reverse,N-ARSR_8E,supported,7,booked_in_advance,1613,0.1765860715023765,0.003871323276158986,0.17271474822621752,0.07268375008610593
NSW1-QLD1,QNI,reverse,N-ARSR_8E,supported,14,booked_in_advance,1613,0.1765860715023765,0.003871323276158986,0.17271474822621752,0.07268375008610593
NSW1-QLD1,QNI,forward,N-ARTW_86,supported,1,booked_in_advance,150,0.08666666666666667,0.0,0.08666666666666667,0.042037037037037026
