week,ic,name,direction,outages,supported_rows,largest_reduction_mw,overlap_max,top_binding_eq,top_binding_p
2027-02-01,NSW1-QLD1,QNI,forward,2,1,-21.49090666666666,4,F_Q++8C_L6,0.0532283057851239
2027-02-01,NSW1-QLD1,QNI,reverse,2,1,-12.837056666666626,4,N>>NIL_964_88_S,0.0840775614898422
2027-02-01,T-V-MNSP1,Basslink,forward,3,3,0.7751799999999918,1,F_MAIN++BIP_ML_L1,0.0505519358441224
2027-02-01,T-V-MNSP1,Basslink,reverse,3,3,-5.4992599999999925,1,F_MAIN++NIL_MG_R1,0.0232964908440942
2027-02-01,V-S-MNSP1,Murraylink,forward,4,4,-14.333333333333329,3,V^^N_NIL_1,0.0410782901056676
2027-02-01,V-S-MNSP1,Murraylink,reverse,4,4,-12.0,3,V^^V_NIL_KGTS,0.267574074074074
2027-02-01,V-SA,Heywood,forward,3,3,-131.33220708333332,1,V::N_MLSY_O1,0.0
2027-02-01,V-SA,Heywood,reverse,3,3,0.0,1,V^^V_NIL_KGTS,0.0529841269841269
2027-02-01,VIC1-NSW1,VNI,forward,6,5,-24.01727666666659,5,N>>BDBU_970_051,0.1200732305804766
2027-02-01,VIC1-NSW1,VNI,reverse,6,5,-137.93621374999998,5,N^^V_NIL_1,0.0981646651643235
2027-02-08,N-Q-MNSP1,Directlink,forward,1,0,11.849902499999992,1,N>>31_33_34,0.0
2027-02-08,N-Q-MNSP1,Directlink,reverse,1,1,-50.9245725,1,N>>NIL_964_84_S,0.042653810835629
2027-02-08,NSW1-QLD1,QNI,forward,3,2,-568.0765250000001,14,N>>31_33_34,0.1664739884393063
2027-02-08,NSW1-QLD1,QNI,reverse,3,2,-20.924999999999955,14,N>>NIL_964_84_S,0.837121212121212
2027-02-08,V-S-MNSP1,Murraylink,forward,1,1,-23.498279583333336,4,VS_HEY_600_TEST,0.071915064102564
2027-02-08,V-S-MNSP1,Murraylink,reverse,1,1,11.583333333333334,4,V>>NIL_MLGT_MLGT,0.0500801282051281
2027-02-08,V-SA,Heywood,forward,1,0,129.11225666666667,2,VS_HEY_600_TEST,0.0682914046121593
