ic,name,direction,level,key,families,layer,n_units,own_diff,own_ci_lo,own_ci_hi,placebo_clean
T-V-MNSP1,Basslink,forward,K2,S-TBSE,S-TBSE,setter,2261,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,reverse,K2,S-TBSE,S-TBSE,setter,2261,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,forward,K2,V-CRML,V-CRML,setter,486,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,reverse,K2,V-CRML,V-CRML,setter,486,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,forward,K2,V-DDMS,V-DDMS,setter,739,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,reverse,K2,V-DDMS,V-DDMS,setter,739,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,forward,K2,V-HGMO,V-HGMO,setter,24,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,reverse,K2,V-HGMO,V-HGMO,setter,24,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,forward,K2,V-HYMO,V-HYMO,setter,270,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,reverse,K2,V-HYMO,V-HYMO,setter,270,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,forward,K2,V-HYTR,V-HYTR,setter,41,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,reverse,K2,V-HYTR,V-HYTR,setter,41,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,forward,K2,V-KG_WE_RC,V-KG_WE_RC,setter,220,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,reverse,K2,V-KG_WE_RC,V-KG_WE_RC,setter,220,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,forward,K2,V-MLSY_NOEMTT_R,V-MLSY_NOEMTT_R,setter,1089,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,reverse,K2,V-MLSY_NOEMTT_R,V-MLSY_NOEMTT_R,setter,1089,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,forward,K2,V-MOTR,V-MOTR,setter,44,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,reverse,K2,V-MOTR,V-MOTR,setter,44,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,forward,K2,V-RCTS_BUS2,V-RCTS_BUS2,setter,193,0.0,0.0,0.0,True
T-V-MNSP1,Basslink,reverse,K2,V-RCTS_BUS2,V-RCTS_BUS2,setter,193,0.0,0.0,0.0,True
V-S-MNSP1,Murraylink,forward,K2,CA_BRIS_5964121F,CA_BRIS_5964121F,setter,6,0.0,0.0,0.0,True
V-S-MNSP1,Murraylink,reverse,K2,CA_BRIS_5964121F,CA_BRIS_5964121F,setter,6,0.0,0.0,0.0,True
V-S-MNSP1,Murraylink,forward,K2,CA_BRIS_59643BAE,CA_BRIS_59643BAE,setter,26,0.0,0.0,0.0,True
V-S-MNSP1,Murraylink,reverse,K2,CA_BRIS_59643BAE,CA_BRIS_59643BAE,setter,26,0.0,0.0,0.0,True
V-S-MNSP1,Murraylink,forward,K2,CA_SYDS_562A9792,CA_SYDS_562A9792,setter,12,0.0,0.0,0.0,True
V-S-MNSP1,Murraylink,reverse,K2,CA_SYDS_562A9792,CA_SYDS_562A9792,setter,12,0.0,0.0,0.0,True
V-S-MNSP1,Murraylink,forward,K2,CA_SYDS_597A8B26,CA_SYDS_597A8B26,setter,18,0.0,0.0,0.0,True
V-S-MNSP1,Murraylink,reverse,K2,CA_SYDS_597A8B26,CA_SYDS_597A8B26,setter,18,0.0,0.0,0.0,True
