as_of,ic,direction,GENCONSETID,embargo_effect,embargo_ci_lo,embargo_ci_hi,rerun_effect,rerun_ci_lo,rerun_ci_hi,rerun_units,embargo_units,agree
2026-07-10 00:00:11,NSW1-QLD1,reverse,Q-X_MRGB_MRGB,-123.02575750000005,-556.2665383333333,66.87918666666678,-123.02575750000005,-556.2665383333333,66.87918666666678,54,54,True
2026-07-10 00:00:11,N-Q-MNSP1,forward,N-96L_96R_CB4102,-36.652375,-50.532931666666656,-19.19695785416667,-38.19938333333334,-51.00984666666667,-20.250286666666675,1573,1597,True
2026-07-10 00:00:11,N-Q-MNSP1,reverse,N-96L_96R_CB4102,11.678231666666676,1.116739999999993,23.300812500000013,12.168890000000005,0.9666666666666686,24.302332354166666,1573,1597,True
2026-07-10 00:00:11,N-Q-MNSP1,forward,N-ARTW_86,-21.191974166666665,-45.005995,-3.7121417500000113,-21.191974166666665,-45.005995,-3.7121417500000113,758,758,True
2026-07-10 00:00:11,N-Q-MNSP1,reverse,N-ARTW_86,11.589299166666656,0.6684508333333312,37.28716333333333,11.589299166666656,0.6684508333333312,37.28716333333333,758,758,True
2026-07-10 00:00:11,N-Q-MNSP1,forward,N-AVMA_17,2.440237500000002,-2.15226,8.666666666666671,4.065833333333337,-0.5555549999999982,10.711195374999994,1203,1257,True
2026-07-10 00:00:11,N-Q-MNSP1,reverse,N-AVMA_17,-0.01666666666666572,-5.5349999999999975,5.787083333333328,-0.6833333333333371,-7.252083333333333,4.656666666666666,1203,1257,True
2026-07-10 00:00:11,N-Q-MNSP1,forward,N-DTMN_8_15M,-0.9317862500000018,-10.85641,7.5017285,-0.9317862500000018,-10.983330000000002,7.5017285,690,690,True
2026-07-10 00:00:11,N-Q-MNSP1,reverse,N-DTMN_8_15M,-4.118950833333332,-21.316666666666677,4.056270833333333,-4.177116249999998,-21.316666666666677,3.782015520833325,690,690,True
2026-07-10 00:00:11,N-Q-MNSP1,forward,N-LDTM_82,6.038406666666663,-3.037884791666665,16.365322083333332,6.038406666666663,-3.037884791666665,16.365322083333332,856,856,True
2026-07-10 00:00:11,N-Q-MNSP1,reverse,N-LDTM_82,2.6258333333333326,-3.1104166666666613,7.583333333333329,2.6258333333333326,-3.1104166666666613,7.583333333333329,856,856,True
2026-07-10 00:00:11,N-Q-MNSP1,forward,N-LDTW_84,21.925416666666663,6.651593041666668,39.506466999999994,21.087409166666667,6.063656666666667,39.506466999999994,436,437,True
2026-07-10 00:00:11,N-Q-MNSP1,reverse,N-LDTW_84,-44.11819,-62.95777845833335,-28.555608333333353,-43.86147583333334,-62.95777845833335,-28.482368333333334,436,437,True
2026-07-10 00:00:11,N-Q-MNSP1,reverse,N-X_ARKK_CH_CB892A,14.216666666666669,4.234753333333334,17.791028333333344,14.216666666666669,4.234753333333334,17.791028333333344,225,225,True
2026-07-10 00:00:11,N-Q-MNSP1,forward,N-X_AVMA_SSWW,-0.1825716666666608,-9.966666666666669,5.828445791666667,-0.1825716666666608,-9.966666666666669,5.828445791666667,171,171,True
2026-07-10 00:00:11,N-Q-MNSP1,reverse,N-X_AVMA_SSWW,9.216666666666654,-0.010982999999999018,17.50833333333331,9.216666666666654,-0.010982999999999018,17.50833333333331,171,171,True
2026-07-10 00:00:11,N-Q-MNSP1,forward,N-X_LPSS_MPWW,-0.2709549999999936,-7.4996810416666735,8.356733333333338,-0.2709549999999936,-7.4996810416666735,8.356733333333338,929,929,True
2026-07-10 00:00:11,N-Q-MNSP1,reverse,N-X_LPSS_MPWW,3.316666666666677,-10.152083333333325,25.183333333333337,3.316666666666677,-10.152083333333325,25.183333333333337,929,929,True
2026-07-10 00:00:11,N-Q-MNSP1,forward,Q-BKBM,-0.10744000000001108,-9.35412783333334,5.295692666666655,-0.11510833333333892,-9.069010708333323,5.295692666666655,862,861,True
2026-07-10 00:00:11,N-Q-MNSP1,reverse,Q-BKBM,28.30000000000001,14.030000000000012,39.241666666666674,27.76017083333333,13.704583333333321,39.16708337499999,862,861,True
2026-07-10 00:00:11,N-Q-MNSP1,forward,Q-GBMU_835_836,-3.6961041666666716,-9.534905166666668,1.7501191458333292,-3.6961041666666716,-9.534905166666668,1.7501191458333292,2878,2878,True
2026-07-10 00:00:11,N-Q-MNSP1,reverse,Q-GBMU_835_836,-1.3665858333333247,-8.616604166666662,4.933725625000009,-1.0704583333333382,-8.099999999999994,5.397022541666664,2878,2878,True
2026-07-10 00:00:11,N-Q-MNSP1,reverse,Q-LCCP_8859,-50.9245725,-60.482808333333345,-30.79968333333335,-50.9245725,-60.482808333333345,-30.79968333333335,242,242,True
2026-07-10 00:00:11,N-Q-MNSP1,forward,Q-RGLC_8875,14.272584166666661,0.5335283333333365,38.930009374999955,14.272584166666661,0.5335283333333365,38.930009374999955,237,237,True
2026-07-10 00:00:11,N-Q-MNSP1,reverse,Q-RGLC_8875,-22.399800000000013,-43.38323833333334,-0.7250141666666678,-22.399800000000013,-43.38323833333334,-0.7250141666666678,237,237,True
2026-07-10 00:00:11,VIC1-NSW1,forward,I-BURC,365.01683,141.75571333333335,508.17485666666664,365.01683,141.75571333333335,508.17485666666664,275,275,True
2026-07-10 00:00:11,VIC1-NSW1,reverse,N-AVMA_17,-63.85051083333332,-100.52165856249997,-7.211903333333339,-63.54761999999994,-99.01208408333332,-7.491446666666661,1293,1294,True
2026-07-10 00:00:11,VIC1-NSW1,forward,N-BADP,84.3688954166667,32.16347833333316,157.07735666666667,84.3688954166667,32.16347833333316,157.07735666666667,144,144,True
2026-07-10 00:00:11,VIC1-NSW1,reverse,N-CNLT_07,-54.50278666666668,-97.03303166666664,-22.239280000000008,-56.02569500000004,-97.84782581250003,-25.78491520833334,1503,1503,True
2026-07-10 00:00:11,VIC1-NSW1,reverse,N-CTMN_4_WG_CLOSE,-63.61050999999999,-97.10989399999997,-26.77099497916662,-64.92828333333333,-98.00510718749999,-27.15623297916667,2073,2073,True
2026-07-10 00:00:11,VIC1-NSW1,forward,N-CTYS_3L_WG_CLOSE,-63.883002499999975,-124.05522950000008,5.240286666666748,-64.14038666666667,-124.21141508333334,3.228758249999865,1408,1412,True
