ic,name,direction,direction_label,season,season_block,flow_median,intervals,capacity_p10,capacity_median,capacity_p90,headroom_median,restricted_rate,forced_rate
V-S-MNSP1,Murraylink,reverse,SA → VIC,Winter,Winter 2026,-10.777225833333333,4416,-98.80190333333334,0.5307658333333336,101.95038333333332,56.07588833333333,0.6148097826086957,0.31408514492753625
V-SA,Heywood,forward,VIC → SA,Autumn,Autumn 2024,57.29297666666666,4416,186.84381166666668,545.8991441666667,600.0,393.2448891666666,0.17459239130434784,0.02309782608695652
V-SA,Heywood,forward,VIC → SA,Autumn,Autumn 2025,159.9218075,4416,119.05901583333335,536.502215,650.0,257.8992533333333,0.20606884057971014,0.06476449275362318
V-SA,Heywood,forward,VIC → SA,Autumn,Autumn 2026,236.24146000000002,4416,102.22577833333332,450.56,600.0,120.04853916666673,0.22644927536231885,0.04506340579710145
V-SA,Heywood,forward,VIC → SA,Spring,Spring 2023,-5.523938333333334,4367,118.32833333333333,417.6799899999999,600.0,366.48879166666666,0.29654224868330664,0.029310739638195558
V-SA,Heywood,forward,VIC → SA,Spring,Spring 2024,-32.87009333333333,4368,125.4715815,385.5457216666666,599.7588325,393.1321208333334,0.20375457875457875,0.036401098901098904
V-SA,Heywood,forward,VIC → SA,Spring,Spring 2025,-34.73674583333333,4368,-44.13194099999998,357.95268000000004,617.7880886666667,318.45612,0.27953296703296704,0.11973443223443224
V-SA,Heywood,forward,VIC → SA,Spring,Spring 2026,-129.31082166666667,1,-129.31082,-129.31082,-129.31082,1.6666666624587378e-06,1.0,1.0
V-SA,Heywood,forward,VIC → SA,Summer,Summer 2023–24,20.167920833333334,4368,35.5155395,396.96439999999996,600.0,292.96861916666666,0.3182234432234432,0.08081501831501832
V-SA,Heywood,forward,VIC → SA,Summer,Summer 2024–25,82.6981675,4320,78.71679716666667,490.71445916666664,638.95391,317.0549666666667,0.22870370370370371,0.05625
V-SA,Heywood,forward,VIC → SA,Summer,Summer 2025–26,157.66473416666668,4320,-21.57548349999999,358.84816750000005,596.5645441666667,91.75768916666668,0.3002314814814815,0.11203703703703703
V-SA,Heywood,forward,VIC → SA,Winter,Winter 2024,-68.30818666666667,4416,-16.3404025,460.0,600.0,331.8578625,0.3208786231884058,0.11662137681159421
V-SA,Heywood,forward,VIC → SA,Winter,Winter 2025,-4.503834999999999,4416,-106.26464250000001,167.5551008333333,595.1297091666667,142.25273666666672,0.5509510869565217,0.21014492753623187
V-SA,Heywood,forward,VIC → SA,Winter,Winter 2026,109.70576249999999,4416,13.0368875,348.69503333333336,614.3223175,131.14211166666664,0.3500905797101449,0.09035326086956522
V-SA,Heywood,reverse,SA → VIC,Autumn,Autumn 2024,-57.29297666666666,4416,450.61706333333336,549.8289875,550.0,582.63719,0.051403985507246376,0.0
V-SA,Heywood,reverse,SA → VIC,Autumn,Autumn 2025,-159.9218075,4416,-3.1716816666666663,342.26168249999995,600.0,448.4563025,0.34578804347826086,0.10144927536231885
V-SA,Heywood,reverse,SA → VIC,Autumn,Autumn 2026,-236.24146000000002,4416,-143.41277083333333,274.3588825,529.7696925,405.49564583333336,0.4594655797101449,0.20244565217391305
V-SA,Heywood,reverse,SA → VIC,Spring,Spring 2023,5.523938333333334,4367,261.176664,550.0,550.0,473.39053666666666,0.10373253950080147,0.005953743989008472
V-SA,Heywood,reverse,SA → VIC,Spring,Spring 2024,32.87009333333333,4368,176.84830183333335,513.2334008333333,550.0,323.2284783333333,0.1549908424908425,0.04097985347985348
V-SA,Heywood,reverse,SA → VIC,Spring,Spring 2025,34.73674583333333,4368,44.17503350000002,447.69458499999996,641.204353,290.8219899999999,0.29120879120879123,0.07234432234432235
V-SA,Heywood,reverse,SA → VIC,Spring,Spring 2026,129.31082166666667,1,211.08591666666666,211.08591666666666,211.08591666666666,81.775095,1.0,0.0
V-SA,Heywood,reverse,SA → VIC,Summer,Summer 2023–24,-20.167920833333334,4368,474.74984450000005,550.0,550.0,539.2695108333334,0.05631868131868132,0.019230769230769232
V-SA,Heywood,reverse,SA → VIC,Summer,Summer 2024–25,-82.6981675,4320,-33.149177,441.5071175,550.0,366.40916250000004,0.3159722222222222,0.11412037037037037
V-SA,Heywood,reverse,SA → VIC,Summer,Summer 2025–26,-157.66473416666668,4320,-260.87787,220.68734083333334,573.2472508333334,245.8109558333333,0.5425925925925926,0.3085648148148148
V-SA,Heywood,reverse,SA → VIC,Winter,Winter 2024,68.30818666666667,4416,99.75062416666667,479.91301999999996,550.0,215.15391999999994,0.22509057971014493,0.01585144927536232
V-SA,Heywood,reverse,SA → VIC,Winter,Winter 2025,4.503834999999999,4416,-22.916251666666668,214.48108666666667,616.429175,182.70007249999998,0.43455615942028986,0.12794384057971014
