ic,name,direction,GENCONSETID,effect_capacity,ci_lo_capacity,ci_hi_capacity,tier,episodes,treated_hours,relation,ci_excludes_zero
T-V-MNSP1,Basslink,reverse,F-T-GO_CB_A752,-27.258933749999983,-42.41048250000006,-15.296673250000017,indicative,4,876.0,relevant,True
T-V-MNSP1,Basslink,forward,N-JNWG_RADIAL,-9.61079916666666,-36.744033333333334,7.548158333333333,indicative,3,206.5,relevant,False
T-V-MNSP1,Basslink,reverse,N-JNWG_RADIAL,-0.695062500000013,-21.95573333333334,24.905582458333246,indicative,3,206.5,relevant,False
T-V-MNSP1,Basslink,forward,N-LDTW_84,-11.322283333333289,-32.74307779166669,4.370827291666663,supported,7,226.5,relevant,False
T-V-MNSP1,Basslink,reverse,N-LDTW_84,22.561411666666665,0.9325143749999973,41.229485833333285,supported,7,226.5,relevant,True
T-V-MNSP1,Basslink,forward,N-LTWG_RADIAL,59.79525166666667,-4.725808333333347,134.0722604583333,indicative,4,55.5,relevant,False
T-V-MNSP1,Basslink,reverse,N-LTWG_RADIAL,-62.10539166666672,-97.94031333333334,14.633638333333352,indicative,4,55.5,relevant,False
T-V-MNSP1,Basslink,forward,N-MMWB_ONE,0.0,-143.334895,0.0,indicative,4,25.5,relevant,False
T-V-MNSP1,Basslink,reverse,N-MMWB_ONE,0.0,0.0,90.06005416666665,indicative,4,25.5,relevant,False
T-V-MNSP1,Basslink,forward,N-TWUL_85,-43.88668333333331,-67.42864833333337,0.20610581249998566,supported,5,343.0,relevant,False
T-V-MNSP1,Basslink,reverse,N-TWUL_85,41.15816000000001,-9.986705124999956,82.28686416666676,supported,5,343.0,relevant,False
T-V-MNSP1,Basslink,forward,Q-X_BRHA_TWO,20.15106416666667,0.0,72.00673549999995,supported,20,72.0,relevant,False
T-V-MNSP1,Basslink,reverse,Q-X_BRHA_TWO,-28.073334166666655,-106.40182341666669,-3.9669183333332967,supported,20,72.0,relevant,True
T-V-MNSP1,Basslink,forward,Q-X_BRTX1+BRHA,-16.041667500000017,-16.283335000000022,-16.283335000000022,unsupported,1,8.0,relevant,True
T-V-MNSP1,Basslink,reverse,Q-X_BRTX1+BRHA,9.240561666666679,9.089211666666642,9.089211666666642,unsupported,1,8.0,relevant,True
T-V-MNSP1,Basslink,forward,S-TBSE,0.0,-3.0,0.0,supported,48,1023.0,relevant,False
T-V-MNSP1,Basslink,reverse,S-TBSE,-12.115159999999998,-31.65006500000004,0.0,supported,48,1023.0,relevant,False
T-V-MNSP1,Basslink,forward,V-CRML,18.705180833333344,0.0,52.67791,supported,12,150.5,relevant,False
T-V-MNSP1,Basslink,reverse,V-CRML,-40.690614999999994,-82.22005120833335,0.0,supported,12,150.5,relevant,False
T-V-MNSP1,Basslink,forward,V-DDMS,3.9666766666666717,-15.48647833333331,52.27686695833336,supported,9,199.0,relevant,False
T-V-MNSP1,Basslink,reverse,V-DDMS,-30.045686666666654,-87.00411833333334,2.763075000000015,supported,9,199.0,relevant,False
T-V-MNSP1,Basslink,forward,V-HGMO,98.8555575,60.32136999999999,60.32136999999999,unsupported,1,6.0,relevant,True
T-V-MNSP1,Basslink,reverse,V-HGMO,-9.855344999999986,-71.22750499999998,-71.22750499999998,unsupported,1,6.0,relevant,True
T-V-MNSP1,Basslink,forward,V-HYMO,1.5,-29.805586666666656,99.68385333333339,supported,7,67.5,relevant,False
T-V-MNSP1,Basslink,reverse,V-HYMO,9.771526666666688,-43.78039833333332,61.07556499999998,supported,7,67.5,relevant,False
T-V-MNSP1,Basslink,forward,V-HYTR,130.36621166666666,86.19987,185.00295833333334,indicative,3,18.0,relevant,True
T-V-MNSP1,Basslink,reverse,V-HYTR,-47.10788000000001,-122.23868833333333,44.166668333333334,indicative,3,18.0,relevant,False
T-V-MNSP1,Basslink,forward,V-KG_WE_RC,18.268147500000026,-18.18759666666668,79.22864666666666,supported,7,78.0,relevant,False
T-V-MNSP1,Basslink,reverse,V-KG_WE_RC,-24.237416666666633,-110.93578500000001,22.699420000000032,supported,7,78.0,relevant,False
T-V-MNSP1,Basslink,forward,V-MLSY_NOEMTT_R,0.7751799999999918,-8.146548333333328,20.83333333333333,supported,11,861.0,relevant,False
T-V-MNSP1,Basslink,reverse,V-MLSY_NOEMTT_R,-5.4992599999999925,-31.001063333333377,3.408374999999978,supported,11,861.0,relevant,False
T-V-MNSP1,Basslink,forward,V-MOTR,-21.606470833333333,-22.25572166666666,-22.25572166666666,unsupported,1,11.0,relevant,True
T-V-MNSP1,Basslink,reverse,V-MOTR,34.891872500000005,34.755335,34.755335,unsupported,1,11.0,relevant,True
T-V-MNSP1,Basslink,forward,V-RCTS_BUS2,13.312756250000021,-0.21464499999996178,36.07646500000001,indicative,4,49.0,relevant,False
T-V-MNSP1,Basslink,reverse,V-RCTS_BUS2,-9.348833333333332,-48.178435000000036,5.75648666666666,indicative,4,49.0,relevant,False
V-S-MNSP1,Murraylink,forward,CA_BRIS_58730C07,,,,unsupported,0,,relevant,False
V-S-MNSP1,Murraylink,reverse,CA_BRIS_58730C07,,,,unsupported,0,,relevant,False
V-S-MNSP1,Murraylink,forward,CA_BRIS_5873DCEF,,,,unsupported,0,,relevant,False
