SUBSTATIONID,substation_name,region,owner,osm_id,osm_name,lat,lon,method,confidence
HALHIL,Hallet Hill Wind Farm,SA1,ElectraNet,,,,,unmatched,
T198_BLA,Broadlea,QLD1,Powerlink,,,,,unmatched,
T244_BDA,Bundoora,QLD1,Powerlink,,,,,unmatched,
T172_MND,QR Mindi (T172),QLD1,Powerlink,,,,,unmatched,
SSQRT,QR Transit Cnt,QLD1,Powerlink,,,,,unmatched,
SSNSW,North Springwood (SSNSW),QLD1,Powerlink,,,,,unmatched,
T109_MBS,Moranbah South 132kV,QLD1,Powerlink,way/610270938,Moranbah South,-22.0602941,147.9921591,name_match,medium
T245_MPN,Moranbah Plains,QLD1,Powerlink,,,,,unmatched,
SSMMC,Merrimac,QLD1,Powerlink,way/460735950,Merrimac Substation,-28.0351307,153.4073767,name_match,medium
T167_KYP,Kearneys Spring,QLD1,Powerlink,,,,,unmatched,
H91_HGTN,Haughton River,QLD1,Powerlink,way/949429976,Haughton River Substation,-19.7419344,147.0493574,name_match,medium
H95HN1SF,Haughton Solar Farm,QLD1,Powerlink,,,,,unmatched,
H96HN2SF,Haughton Solar Farm 2,QLD1,Powerlink,,,,,unmatched,
T225_CCK,Clifford Creek (T225),QLD1,Powerlink,way/550227806,Clifford Creek,-26.3488933,149.380981,name_match,medium
T218_CBS,Condabri South (T218),QLD1,Powerlink,way/550386485,Condabri South,-26.9320015,150.2236115,name_match,medium
H87_CRCK,Crush Creek,QLD1,Powerlink,,,,,unmatched,
T224_DNS,Dinoun South (T224),QLD1,Powerlink,way/550224416,Dinoun South,-26.2411556,149.5066721,name_match,medium
T210_DUR,Duaringa (T210),QLD1,Powerlink,way/610807805,Duaringa,-23.7107585,149.6789872,name_match,medium
T215_EDW,Eagle Downs (T215),QLD1,Powerlink,way/610270936,Eagle Downs,-22.1749293,148.1890735,name_match,medium
EMERALD,Emerald 66/22kV,QLD1,Powerlink,,,,,unmatched,
H80_ERMB,Eurombah (H80),QLD1,Powerlink,way/550224397,Eurombah,-25.9348591,149.1990637,name_match,medium
T227_FVW,Fairview,QLD1,Powerlink,,,,,unmatched,
H81_FVWS,Fairview South,QLD1,Powerlink,way/800728528,Fairview South,-25.7540567,149.0718243,name_match,medium
H77_CLMB,Columboola (H77),QLD1,Powerlink,way/171582472,Columboola,-26.6488955,150.2797059,name_match,medium
S,Callide 132kV,QLD1,Powerlink,,,,,unmatched,
T130_BCK,Boat Creek 132kV,QLD1,Powerlink,,,,,unmatched,
T234_BLV,Bellevue,QLD1,Powerlink,way/550229927,Bellevue,-26.6917641,150.2765142,name_match,medium
TOP_RYDE,Top Ryde 132kV,NSW1,Transgrid,way/480637074,Top Ryde Zone Substation,-33.81171,151.1138021,name_match,medium
BFIELD_S,Beaconsfield 330kV,NSW1,Transgrid,,,,,unmatched,
BFIELD_N,Beaconsfield North 132kV,NSW1,Transgrid,way/476441260,Beaconsfield North Bulk Supply Substation,-33.9142493,151.1880198,name_match,medium
MANILDRA,Manildra 132kV,NSW1,Transgrid,way/480673879,Manildra Substation,-33.1798688,148.7168847,name_match,medium
WILLOG,Willogoleche WF,SA1,ElectraNet,,,,,unmatched,
MT_LOC,Mount Lock,SA1,ElectraNet,way/544861273,Mount Lock Substation,-33.085922,138.5214471,name_match,medium
EMEROO,EMEROO,SA1,ElectraNet,way/752846574,Emeroo Substation,-32.4144893,137.8478121,name_match,medium
DALR_N,Dalrymple North,SA1,ElectraNet,,,,,unmatched,
COOR_S,COORONG SF,SA1,ElectraNet,,,,,unmatched,
MT_G_S,Mount Gunson South,SA1,ElectraNet,,,,,unmatched,
KING,Kingaroy 66kV,QLD1,Powerlink,way/253930085,Kingaroy,-26.5402765,151.8565423,name_match,medium
H67_CALR,Calliope River (H067),QLD1,Powerlink,way/432510474,Calliope River Substation,-23.8561501,151.1929892,name_match,medium
Z6_DAYSF,Daydream SF,QLD1,Powerlink,,,,,unmatched,
LV,Laverton 66kV,VIC1,AusNet,,,,,unmatched,
Z3_HAMSF,Hamilton SF,QLD1,Powerlink,,,,,unmatched,
ST,Somerton/epping Subs,VIC1,AusNet,,,,,unmatched,
Z5_HAYSF,Hayman SF,QLD1,Powerlink,,,,,unmatched,
WOOL_NTH,Woolnorth,TAS1,TasNetworks,,,,,unmatched,
ST_LENRD,ST Leonards,TAS1,TasNetworks,,,,,unmatched,
MUSSELRO,Musselroe,TAS1,TasNetworks,way/391535009,Musselroe Substation,-40.7800334,148.010269,name_match,medium
HUON,Huon River,TAS1,TasNetworks,way/550408235,Huon River Substation,-43.0537493,146.8155758,name_match,medium
ELTS,Elaine Terminal Station 220kV,VIC1,TOA,way/346232962,Elaine Terminal Station,-37.7308232,144.0119598,name_match,medium
MEWF,Mt Mercer WF,VIC1,TOA,,,,,unmatched,
BOPS,Bogong PS,VIC1,AEMO,,,,,unmatched,
DEERPARK,Deer Park (Ausnet),VIC1,AusNet,way/235397963,Deer Park Terminal Station,-37.7776796,144.7353723,name_match,medium
CWTS,Crowlands,VIC1,AusNet,way/751742419,Crowlands Terminal Station,-37.1208415,143.1543186,name_match,medium
BGTS,Bulgana,VIC1,AusNet,,,,,unmatched,
CATHILL,Wild Cattle Hill,TAS1,TasNetworks,,,,,unmatched,
MNWF,Moorabool Nth WF,VIC1,TOA,,,,,unmatched,
MSWF,Moorabool Sth WF,VIC1,TOA,,,,,unmatched,
T239_KSF,Kidston Solar PS,QLD1,Powerlink,,,,,unmatched,
DPTS,DEERPARK,VIC1,Transgrid,,,,,unmatched,
SSKG,Kelvin Grove,QLD1,Powerlink,way/35692907,Kelvin Grove substation,-27.4545332,153.0127485,name_match,medium
Z8_LV1SF,Lilyvale SF,QLD1,Powerlink,,,,,unmatched,
H84_MTEW,Mount Emerald WF,QLD1,Powerlink,,,,,unmatched,
