name,direction,season,day_period,units_n,capacity_effect,at_limit_effect,flow_effect
QNI,reverse,Summer,Evening peak,232,-34.02077333333324,0.05172413793103448,138.76992083333334
QNI,reverse,Summer,Morning peak,220,-66.66686750000002,0.12954545454545455,54.24203583333334
QNI,reverse,Summer,Overnight,398,31.722842499999956,0.0414572864321608,84.98074666666669
QNI,reverse,Summer,Solar period,537,-123.9639483333334,0.032588454376163874,-117.74566166666668
QNI,reverse,Winter,Evening peak,1013,-29.078333333333376,0.13672260612043435,-23.664331666666612
QNI,reverse,Winter,Morning peak,648,-38.07801749999999,0.08719135802469136,-38.69454583333332
QNI,reverse,Winter,Overnight,1658,-8.449683333333155,0.08805790108564536,15.136706666666669
QNI,reverse,Winter,Solar period,1695,-18.71602166666662,0.06873156342182891,8.265625
VNI,forward,Autumn,Evening peak,467,-103.3946616666667,0.017130620985010708,-143.51875666666666
VNI,forward,Autumn,Morning peak,383,29.372709999999984,0.04699738903394256,6.564736666666704
VNI,forward,Autumn,Overnight,602,-46.0369433333334,-0.11378737541528239,-147.24774499999998
VNI,forward,Autumn,Solar period,994,87.36059416666669,0.028672032193158954,41.91567458333332
VNI,forward,Spring,Evening peak,963,-116.22717666666688,0.0514018691588785,-68.59212000000002
VNI,forward,Spring,Morning peak,703,-41.64223000000004,-0.008534850640113799,-54.809153333333335
VNI,forward,Spring,Overnight,1477,-62.098273333333395,0.06872037914691943,23.753790000000095
VNI,forward,Spring,Solar period,1837,-31.915552500000217,0.004899292324442025,-37.25266166666667
VNI,forward,Summer,Evening peak,263,22.294568333333245,0.034220532319391636,-12.533967500000017
VNI,forward,Summer,Morning peak,226,36.77975291666672,-0.01991150442477876,-52.661511666666655
VNI,forward,Summer,Overnight,430,-113.58778666666666,0.046511627906976744,-123.27160166666663
VNI,forward,Summer,Solar period,525,89.5199916666667,0.0761904761904762,27.78111
VNI,forward,Winter,Evening peak,532,5.865925416666755,-0.08270676691729323,-111.80546333333336
VNI,forward,Winter,Morning peak,326,-14.737015000000042,-0.08742331288343558,-90.30207541666667
VNI,forward,Winter,Overnight,809,33.22482833333345,-0.1903584672435105,-182.81767749999983
VNI,forward,Winter,Solar period,869,14.591986666666685,-0.06789413118527042,-28.30317500000001
VNI,reverse,Autumn,Evening peak,907,-71.31598500000001,0.040793825799338476,120.32093500000002
VNI,reverse,Autumn,Morning peak,626,-60.63505416666665,0.04472843450479233,-20.578049166666688
VNI,reverse,Autumn,Overnight,1368,-97.68854749999997,0.0533625730994152,64.07654833333336
VNI,reverse,Autumn,Solar period,1582,-61.58728583333328,0.008849557522123894,-59.596011250000004
VNI,reverse,Spring,Evening peak,757,9.400843333333341,0.003963011889035667,26.20319916666665
VNI,reverse,Spring,Morning peak,531,18.304575,0.07344632768361582,94.74290333333329
VNI,reverse,Spring,Overnight,1152,-54.23679416666667,0.020399305555555556,-12.826825833333373
VNI,reverse,Spring,Solar period,1381,3.3548183333332986,0.04525706010137581,37.25266166666667
VNI,reverse,Summer,Evening peak,472,-49.79573666666664,0.05826271186440678,-3.4827700000000164
VNI,reverse,Summer,Morning peak,355,-55.600031666666666,0.02535211267605634,-23.925241666666636
VNI,reverse,Summer,Overnight,792,-27.349366249999946,0.010101010101010102,-2.2518579166666655
VNI,reverse,Summer,Solar period,767,-58.06827333333342,-0.060625814863103,-98.30443000000002
VNI,reverse,Winter,Evening peak,682,-61.96810499999998,0.04985337243401759,5.939658333333345
VNI,reverse,Winter,Morning peak,414,-13.941429999999968,0.04830917874396135,56.927788333333375
VNI,reverse,Winter,Overnight,951,8.467679999999973,0.03627760252365931,2.6342533333332767
VNI,reverse,Winter,Solar period,1228,-32.973137500000036,-0.004478827361563518,-1.0400241666666261
