ic,name,direction,season,variable,regime,n,p10,p20,p80,p90,value_median,flow_median,capacity_median,tight_capacity_median,headroom_median,restricted_rate,forced_rate
NSW1-QLD1,QNI,forward,Winter,source_solar,low,4306,0.0,0.0,1667.2415606666668,2270.284003166667,0.0,-379.72929166666665,481.8199858333333,460.39639,768.2524566666667,0.2185322805387831,0.04993032977241059
NSW1-QLD1,QNI,forward,Winter,source_solar,normal,6292,0.0,0.0,1667.2415606666668,2270.284003166667,10.597909166666668,-571.23109,531.5775,498.73186,1029.29326,0.21503496503496503,0.07279084551811825
NSW1-QLD1,QNI,forward,Winter,source_solar,high,2650,0.0,0.0,1667.2415606666668,2270.284003166667,2270.3036708333334,-784.3018824999999,691.3726183333333,668.084065,1440.2749366666667,0.12377358490566037,0.034339622641509436
NSW1-QLD1,QNI,forward,Winter,source_vre,low,2650,302.644835,517.586573,2442.918533666667,3043.603483166667,302.59113833333333,-550.7703591666666,453.33276750000005,417.74296,947.6184458333333,0.2739622641509434,0.0860377358490566
NSW1-QLD1,QNI,forward,Winter,source_vre,normal,7948,302.644835,517.586573,2442.918533666667,3043.603483166667,1301.5185883333334,-463.09583833333335,527.0901116666666,496.127835,892.7674891666667,0.19992450931051836,0.056240563663814795
NSW1-QLD1,QNI,forward,Winter,source_vre,high,2650,302.644835,517.586573,2442.918533666667,3043.603483166667,3043.6479275,-770.3108316666667,690.2581583333334,665.9001000000001,1417.0108758333333,0.11584905660377358,0.033584905660377355
NSW1-QLD1,QNI,forward,Winter,sink_vre,low,2650,276.36357266666664,429.15324533333336,2046.466251,2453.0314951666674,276.29712333333333,-254.5127566666667,434.6373625,408.376135,649.8657558333333,0.27132075471698114,0.05886792452830188
NSW1-QLD1,QNI,forward,Winter,sink_vre,normal,7948,276.36357266666664,429.15324533333336,2046.466251,2453.0314951666674,1027.8097975,-525.3736341666666,560.0041766666667,536.630615,1015.6587308333333,0.18268746854554604,0.06139909411172622
NSW1-QLD1,QNI,forward,Winter,sink_vre,high,2650,276.36357266666664,429.15324533333336,2046.466251,2453.0314951666674,2453.1398475,-877.5398183333334,670.1226858333333,638.3709249999999,1507.5563191666668,0.17018867924528303,0.045283018867924525
NSW1-QLD1,QNI,forward,Winter,vre_difference,low,2650,-577.2688775,-323.44948233333304,912.3325216666667,1270.6837865000002,-577.3792691666667,-824.4005933333333,548.9865816666667,503.35577,1347.9074449999998,0.25849056603773585,0.08490566037735849
NSW1-QLD1,QNI,forward,Winter,vre_difference,normal,7948,-577.2688775,-323.44948233333304,912.3325216666667,1270.6837865000002,200.65375083333328,-531.3492641666667,536.5623949999999,507.133265,1013.6108825,0.1937594363361852,0.052591847005535985
NSW1-QLD1,QNI,forward,Winter,vre_difference,high,2650,-577.2688775,-323.44948233333304,912.3325216666667,1270.6837865000002,1270.7340608333332,-153.4584025,587.1018658333332,559.2363700000001,648.5912625,0.14981132075471698,0.045660377358490566
NSW1-QLD1,QNI,forward,Winter,residual_difference,low,2650,590.4798528333334,1169.9482709999997,3042.4867623333334,3530.8747851666667,590.3527024999999,-99.55794916666667,607.6534341666667,579.6433,621.58524,0.1230188679245283,0.0509433962264151
NSW1-QLD1,QNI,forward,Winter,residual_difference,normal,7948,590.4798528333334,1169.9482709999997,3042.4867623333334,3530.8747851666667,2169.174610833334,-526.6309091666667,540.9656225,515.900715,999.0515075000001,0.1966532460996477,0.05171112229491696
NSW1-QLD1,QNI,forward,Winter,residual_difference,high,2650,590.4798528333334,1169.9482709999997,3042.4867623333334,3530.8747851666667,3530.8976075,-928.5158308333332,485.6703066666667,434.14789499999995,1383.207205,0.2766037735849057,0.08226415094339623
NSW1-QLD1,QNI,forward,Winter,source_vre_ramp_1h,low,2650,-321.12095633333354,-132.2542396666667,141.70958466666653,324.46155400000083,-321.1569516666668,-627.2735358333333,550.5280166666666,509.727945,1108.1009233333334,0.2181132075471698,0.07169811320754717
NSW1-QLD1,QNI,forward,Winter,source_vre_ramp_1h,normal,7948,-321.12095633333354,-132.2542396666667,141.70958466666653,324.46155400000083,4.122884999999982,-480.2899075,534.7631916666667,513.860455,912.6806166666667,0.1945143432310015,0.05221439355812783
NSW1-QLD1,QNI,forward,Winter,source_vre_ramp_1h,high,2650,-321.12095633333354,-132.2542396666667,141.70958466666653,324.46155400000083,324.59212,-715.0409641666668,583.6445441666667,550.083785,1259.7596050000002,0.1879245283018868,0.06
NSW1-QLD1,QNI,forward,Winter,sink_vre_ramp_1h,low,2650,-355.35256316666647,-150.40969966666663,135.20787633333333,322.70394716666635,-355.4522074999999,-689.5055925,567.6744008333334,535.59836,1195.1874166666666,0.2139622641509434,0.06716981132075471
