source,target,direction,GENCONSETID,effect_capacity,ci_lo,ci_hi
Murraylink,Directlink,reverse,I-SVML_132,-3.1234179166666607,-24.483116666666653,19.866529999999997
Murraylink,Directlink,forward,I-VSML_044,0.1423975000000084,-5.089863895833341,2.275993333333332
Murraylink,Directlink,reverse,I-VSML_044,1.8660949999999872,-4.933279999999996,18.14975000000001
Murraylink,Directlink,forward,I-VSML_088,2.662348333333334,-0.6123050000000063,17.930916666666675
Murraylink,Directlink,reverse,I-VSML_088,-16.82480333333332,-31.699688333333327,4.16670666666667
Murraylink,Directlink,forward,I-VSML_132,1.6644758333333343,-11.226255000000002,16.448016666666668
Murraylink,Directlink,reverse,I-VSML_132,-3.1234179166666607,-24.483116666666653,19.866529999999997
Murraylink,Directlink,forward,I-VSML_176,11.287509999999997,-3.1790083333333286,26.317215000000004
Murraylink,Directlink,reverse,I-VSML_176,-28.37199833333335,-59.166016666666664,6.016643333333349
VNI,Directlink,forward,I-X_BDBU+HYSE,5.450823333333332,-36.93265666666667,12.818415000000002
Heywood,Directlink,forward,I-X_BDBU+HYSE,5.450823333333332,-36.93265666666667,12.818415000000002
Murraylink,Directlink,forward,I-X_BDBU+HYSE,5.450823333333332,-36.93265666666667,12.818415000000002
QNI,Directlink,forward,N-ARDM_8C,-24.03095833333333,-32.64909333333333,-16.179499999999994
QNI,Directlink,reverse,N-ARDM_8C,21.283141666666666,13.382916666666667,32.10708395833332
QNI,Directlink,forward,N-ARSR_8E,-17.561293749999997,-30.449274166666665,-9.343115458333335
VNI,Directlink,forward,N-BABU,0.04385333333331687,-4.035562249999992,2.196980083333333
Heywood,Directlink,forward,N-BABU,0.04385333333331687,-4.035562249999992,2.196980083333333
Murraylink,Directlink,forward,N-BABU,0.04385333333331687,-4.035562249999992,2.196980083333333
VNI,Directlink,forward,N-BADP,-3.9,-31.32612639583333,8.731680833333328
Murraylink,Directlink,forward,N-BADP,-3.9,-31.32612639583333,8.731680833333328
VNI,Directlink,reverse,N-BADP,-7.566666666666677,-30.097398791666652,11.933335
Murraylink,Directlink,reverse,N-BADP,-7.566666666666677,-30.097398791666652,11.933335
Murraylink,Directlink,forward,N-CLDE_99L_C,-20.35,-34.45,-10.677281666666666
Murraylink,Directlink,reverse,N-CLDE_99L_C,8.591666666666669,-1.3833333333333258,20.967708333333334
VNI,Directlink,forward,N-CNLT_07,1.0706529166666705,-7.342557041666673,9.436680958333332
Murraylink,Directlink,forward,N-CNLT_07,1.0706529166666705,-7.342557041666673,9.436680958333332
VNI,Directlink,forward,N-CTMN_4_WG_CLOSE,-0.9585641666666689,-7.91427304166667,6.579742999999999
Murraylink,Directlink,forward,N-CTMN_4_WG_CLOSE,-0.9585641666666689,-7.91427304166667,6.579742999999999
VNI,Directlink,forward,N-CTYS_3L_WG_CLOSE,4.101228333333335,-0.3333333333333357,9.461260541666666
Murraylink,Directlink,forward,N-CTYS_3L_WG_CLOSE,4.101228333333335,-0.3333333333333357,9.461260541666666
VNI,Directlink,reverse,N-CTYS_3L_WG_CLOSE,-0.4766666666666737,-5.270375000000009,2.492416666666674
Murraylink,Directlink,reverse,N-CTYS_3L_WG_CLOSE,-0.4766666666666737,-5.270375000000009,2.492416666666674
QNI,Directlink,forward,N-DMSR_8J,-26.56823,-37.29587447916666,-17.9898385
QNI,Directlink,reverse,N-DMSR_8J,18.583180000000013,12.516666666666666,25.25
VNI,Directlink,forward,N-DPWG_63,6.115647500000005,0.16797404166666977,12.954385000000002
Murraylink,Directlink,forward,N-DPWG_63,6.115647500000005,0.16797404166666977,12.954385000000002
VNI,Directlink,reverse,N-DPWG_63,2.0078500000000012,-2.7333333333333343,12.333333333333329
Murraylink,Directlink,reverse,N-DPWG_63,2.0078500000000012,-2.7333333333333343,12.333333333333329
VNI,Directlink,reverse,N-DPWG_63_X5,5.1000000000000085,-2.2099999999999884,15.209881666666675
Murraylink,Directlink,reverse,N-DPWG_63_X5,5.1000000000000085,-2.2099999999999884,15.209881666666675
VNI,Directlink,forward,N-DTKV_18_WG_CLOSE,0.0313466666666784,-50.91417250000001,9.783335
Murraylink,Directlink,forward,N-DTKV_18_WG_CLOSE,0.0313466666666784,-50.91417250000001,9.783335
VNI,Directlink,reverse,N-DTKV_18_WG_CLOSE,-10.350000000000009,-20.31666666666667,9.20520837499995
Murraylink,Directlink,reverse,N-DTKV_18_WG_CLOSE,-10.350000000000009,-20.31666666666667,9.20520837499995
QNI,Directlink,reverse,N-DTSS_11,9.38324666666665,4.681250000000004,13.983318333333301
VNI,Directlink,reverse,N-DTSS_11,9.38324666666665,4.681250000000004,13.983318333333301
