ic,direction,state,season,half_hours,capacity_p10,capacity_median,capacity_p90,flow_median,headroom_median,at_limit_share,restricted_share,name
T-V-MNSP1,forward,invoked_leading,Summer,3772,-253.05000783333335,-199.50425583333333,350.0,-405.8524883333333,192.63604166666667,0.04772004241781548,0.8189289501590669,Basslink
T-V-MNSP1,forward,invoked_leading,Winter,143,-191.91654733333334,0.0,456.0,-53.14970833333333,120.63544,0.013986013986013986,0.7832167832167832,Basslink
T-V-MNSP1,forward,invoked_nonleading,Autumn,2581,-259.4833433333333,-186.10000666666667,248.82103500000002,-368.88679499999995,184.79693,0.0197597830298334,0.7675319643549012,Basslink
T-V-MNSP1,forward,invoked_nonleading,Spring,2926,-144.02813583333332,125.0,320.8471083333333,0.0,125.0,0.019822282980177717,0.6473000683526999,Basslink
T-V-MNSP1,forward,invoked_nonleading,Summer,501,-203.47673333333333,-93.00092666666667,125.0,-93.33333333333333,65.26991833333334,0.031936127744510975,0.7704590818363274,Basslink
T-V-MNSP1,forward,invoked_nonleading,Winter,2379,-218.980833,125.0,456.0,0.0,103.51986166666669,0.0487599831862127,0.5514922236233711,Basslink
T-V-MNSP1,forward,partial,Autumn,10,-233.65721283333332,16.483176666666672,125.0,-46.01596,125.0,0.0,0.5,Basslink
T-V-MNSP1,forward,partial,Spring,3,32.186205333333334,44.16519333333334,108.83303866666668,-31.14084,79.02304666666667,0.0,1.0,Basslink
T-V-MNSP1,forward,partial,Summer,6,62.91593666666667,114.58333333333334,262.8989266666666,-10.383419166666666,119.95519666666667,0.0,0.16666666666666666,Basslink
T-V-MNSP1,forward,partial,Winter,17,-229.775781,437.89974,459.0,349.748275,106.78492833333337,0.058823529411764705,0.47058823529411764,Basslink
T-V-MNSP1,reverse,booked_only,Autumn,6,115.42076166666668,269.4130491666666,360.7574666666667,93.91060833333333,175.5024408333333,0.0,0.16666666666666666,Basslink
T-V-MNSP1,reverse,booked_only,Spring,41,-99.79197166666665,125.0,125.0,-0.0,122.21438166666667,0.0,0.926829268292683,Basslink
T-V-MNSP1,reverse,booked_only,Winter,311,-239.63021,-189.904975,388.2805333333333,-286.82343833333334,134.53643,0.08038585209003216,0.7395498392282959,Basslink
T-V-MNSP1,reverse,clear,Autumn,6177,-0.11344333333332687,268.11572333333334,454.5728733333334,79.576385,112.76326333333334,0.30095515622470453,0.4607414602557876,Basslink
T-V-MNSP1,reverse,clear,Spring,1809,-168.30234366666667,125.0,263.95333500000004,-0.0,125.0,0.01658374792703151,0.8181315644002212,Basslink
T-V-MNSP1,reverse,clear,Summer,4361,43.39814833333333,233.03304,392.65978666666666,60.0,125.0,0.17381334556294428,0.46984636551249714,Basslink
T-V-MNSP1,reverse,clear,Winter,5982,-220.48029983333333,125.0,425.5326825,-0.0,100.07347999999999,0.19307923771313942,0.6185222333667669,Basslink
T-V-MNSP1,reverse,invoked_leading,Autumn,63,297.6399636666667,426.70350333333334,463.88277733333337,425.687645,0.0,0.7142857142857143,0.06349206349206349,Basslink
T-V-MNSP1,reverse,invoked_leading,Spring,2701,-195.9499966666667,301.6000016666667,454.813465,164.850215,6.44754666666671,0.39540910773787485,0.4120696038504258,Basslink
T-V-MNSP1,reverse,invoked_leading,Summer,3274,-174.7196955,411.875455,466.6770568333334,411.0325941666666,0.0,0.6249236408063531,0.19853390348197922,Basslink
T-V-MNSP1,reverse,invoked_leading,Winter,217,-231.97289666666666,118.67000166666666,428.52281899999997,-0.0,96.32418499999997,0.16589861751152074,0.6221198156682027,Basslink
T-V-MNSP1,reverse,invoked_nonleading,Autumn,2577,-63.075392999999956,385.3434033333333,476.681838,370.270305,1.6666666624587378e-06,0.5467597982149787,0.24485836243694217,Basslink
T-V-MNSP1,reverse,invoked_nonleading,Spring,4182,-198.71313016666667,104.16666666666667,360.22953750000005,-0.0,54.86574833333336,0.19057867049258728,0.7180774748923959,Basslink
T-V-MNSP1,reverse,invoked_nonleading,Summer,999,59.999995000000006,353.0980683333333,424.77095433333335,261.478355,29.413985000000025,0.4694694694694695,0.2172172172172172,Basslink
T-V-MNSP1,reverse,invoked_nonleading,Winter,2306,-237.41276083333332,103.73986000000001,412.0476208333333,-0.0,73.0398275,0.209887250650477,0.5862966175195143,Basslink
T-V-MNSP1,reverse,partial,Autumn,9,125.0,300.6829433333333,451.5885313333334,97.22426666666667,125.0,0.4444444444444444,0.4444444444444444,Basslink
T-V-MNSP1,reverse,partial,Spring,3,138.17,190.85,192.31666666666663,31.14084,141.01841166666665,0.0,0.3333333333333333,Basslink
T-V-MNSP1,reverse,partial,Summer,6,-10.720446666666646,135.46663416666667,182.79142333333334,10.383419166666666,130.09477083333334,0.0,0.8333333333333334,Basslink
T-V-MNSP1,reverse,partial,Winter,16,-242.26973750000002,-54.02955416666665,426.356665,-174.8741375,142.75966333333332,0.25,0.75,Basslink
V-S-MNSP1,forward,booked_only,Autumn,84,10.391006,114.08718583333334,159.6103915,61.89345916666666,0.5895858333333379,0.47619047619047616,0.27380952380952384,Murraylink
V-S-MNSP1,forward,booked_only,Spring,211,-144.32248166666668,111.83333333333333,178.36415666666667,51.546575,3.333333353339185e-06,0.35071090047393366,0.41232227488151657,Murraylink
V-S-MNSP1,forward,booked_only,Summer,613,-87.36321033333333,114.110385,169.867078,52.21079833333334,3.3333333249174757e-06,0.39477977161500816,0.3458401305057096,Murraylink
