scope,DUID,contraction_contribution_rows,contraction_onsets,contraction_tightening_mw_observations,contraction_relief_mw_observations,contraction_abs_impact_mw_observations,contraction_mean_positive_tightening_mw,contraction_positive_share,contraction_rank
overall,EILDON1,178,67,70.30672,122.13483412322273,192.44155412322272,0.39498157303370784,0.02247191011235955,197
overall,EILDON2,178,67,61.62244,104.74464454976302,166.36708454976304,0.3461934831460674,0.028089887640449437,198
overall,CG4,398,165,58.03210251824592,965.3369571004744,1023.3690596187203,0.14580930280966312,0.010050251256281407,199
overall,WILLBES1,204,70,50.255102040816325,25.127551020408163,75.38265306122449,0.2463485394157663,0.00980392156862745,200
overall,LNGS1,1807,616,39.69499408851153,181.4711373106061,221.16613139911763,0.02196734592612702,0.00387382401770891,201
overall,HUMEV,5541,2291,37.99086762674513,47.03694456982938,85.0278121965745,0.006856319730508054,0.001804728388377549,202
overall,CG1,398,165,36.98179979777553,10.47104259104818,47.45284238882371,0.09291909496928526,0.010050251256281407,203
overall,VPGS5,591,192,32.19375,1.8937499999999998,34.0875,0.05447335025380711,0.001692047377326565,204
overall,LBB1,2,2,4.266850068775791,0.0,4.266850068775791,2.1334250343878955,0.5,205
overall,HEZ1,398,165,3.4475374732334045,84.49476478079572,87.94230225402912,0.008662154455360314,0.002512562814070352,206
overall,NESBESS1,63,20,0.0,322.87581699346407,322.87581699346407,0.0,0.0,207
overall,JLA04,591,192,0.0,0.0,0.0,0.0,0.0,207
overall,LKBONNY2,2,2,0.0,14.466833383768915,14.466833383768915,0.0,0.0,207
overall,LKBONNY1,2,2,0.0,3.761477235213205,3.761477235213205,0.0,0.0,207
overall,LKBONNY3,2,2,0.0,3.5557083906464926,3.5557083906464926,0.0,0.0,207
overall,BDL01,591,192,0.0,0.0,0.0,0.0,0.0,207
overall,LADBROK2,2,2,0.0,0.0,0.0,0.0,0.0,207
overall,LADBROK1,2,2,0.0,0.0,0.0,0.0,0.0,207
overall,BDL02,591,192,0.0,0.0,0.0,0.0,0.0,207
overall,CNUNDAWF,2,2,0.0,0.0,0.0,0.0,0.0,207
overall,CAPBES1G,106,37,0.0,0.0,0.0,0.0,0.0,207
overall,CAPBES1L,106,37,0.0,0.0,0.0,0.0,0.0,207
overall,HUNTER2,62,19,0.0,0.0,0.0,0.0,0.0,207
overall,HUNTER1,62,19,0.0,0.0,0.0,0.0,0.0,207
overall,HBESSG1,17,8,0.0,0.0,0.0,0.0,0.0,207
overall,HBESSL1,17,8,0.0,0.0,0.0,0.0,0.0,207
overall,NESBESS2,63,20,0.0,0.0,0.0,0.0,0.0,207
overall,PIBESSG1,17,8,0.0,0.0,0.0,0.0,0.0,207
overall,SNUG1,2,2,0.0,0.0,0.0,0.0,0.0,207
overall,PIBESSL1,17,8,0.0,0.0,0.0,0.0,0.0,207
overall,PLBESS1,372,130,0.0,0.0,0.0,0.0,0.0,207
overall,VPGS2,591,192,0.0,0.0,0.0,0.0,0.0,207
overall,VPGS6,591,192,0.0,0.0,0.0,0.0,0.0,207
overall,VPGS3,591,192,0.0,0.0,0.0,0.0,0.0,207
overall,VPGS4,591,192,0.0,0.0,0.0,0.0,0.0,207
overall,VPGS1,591,192,0.0,0.0,0.0,0.0,0.0,207
upper,TUMUT3,3560,1084,1181998.5614877935,19838.092174600395,1201836.6536623938,332.0220678336498,0.3952247191011236,1
upper,LIMOSF11,8827,3347,1091199.0853317883,76827.67509066549,1168026.7604224537,123.62060556608002,0.5923869944488501,2
upper,SUNRSF1,8827,3347,676322.9963516314,78208.7896889696,754531.786040601,76.61980246421562,0.5952192137759148,3
upper,DARLSF1,8773,3325,437981.54020347085,118283.48829075137,556265.0284942223,49.92380487900044,0.5358486264675709,4
upper,AVLSF1,7976,3005,436621.7996412081,109721.32547831364,546343.1251195217,54.74195080757373,0.5406218655967904,5
upper,MURRAY,6411,2763,375516.47406804387,28670.771373588414,404187.2454416322,58.57377539666883,0.3299017313991577,6
upper,UPPTUMUT,3600,1098,243926.9902838079,30426.3126917412,274353.30297554913,67.75749730105775,0.3641666666666667,7
upper,COLEASF1,8773,3325,238300.61102142825,84682.66725503375,322983.278276462,27.162955775838167,0.5155591017895816,8
upper,CUSF1,2639,1133,208275.33671242706,140028.5682408482,348303.9049532752,78.92206771975258,0.5251989389920424,9
upper,HILLSTN1,8773,3325,201880.983811969,71925.38651022018,273806.3703221892,23.011624736346633,0.49093810555112277,10
upper,LIMOSF21,8827,3347,156630.1922544222,16529.95740794203,173160.14966236425,17.744442308193292,0.6106264869151468,11
upper,WSTWYSF1,6706,2378,142510.8638491848,44473.806044059784,186984.66989324457,21.251247218786876,0.5542797494780793,12
upper,WLWLSF1,5699,2043,139446.54744869383,71686.07598883694,211132.62343753077,24.468599306666754,0.5085102649587647,13
upper,WLWLSF2,5699,2043,135488.5736781436,71468.96544193168,206957.53912007532,23.774096100744625,0.5107913669064749,14
upper,BOMENSF1,6516,2311,133606.95804792125,39483.27946277451,173090.23751069576,20.50444414486207,0.5716697360343769,15
upper,SEBSF1,6706,2378,125546.63040518927,42476.44986835141,168023.0802735407,18.72153748958981,0.4700268416343573,16
upper,FINLYSF1,8451,3188,123470.7714041536,55170.193728664584,178640.96513281818,14.610196592610768,0.4466926990888652,17
upper,RIVNB2,7905,2974,116453.9698026531,49755.48598171178,166209.4557843649,14.731684984522845,0.2030360531309298,18
upper,KIAMSF1,4257,1777,106074.54520858487,71127.20734262574,177201.75255121058,24.9176756421388,0.28165374677002586,19
upper,STWF1,8831,3350,105791.22385223482,77481.68770338442,183272.91155561924,11.979529368388045,0.36360548069301324,20
upper,BROKENH1,8837,3351,80385.02687423647,35418.01575575336,115803.04262998984,9.096415850881122,0.45943193391422427,21
upper,WAGGNSF1,6516,2311,80166.14345420594,22409.61992411906,102575.76337832499,12.302968608687223,0.556476365868631,22
upper,WYASF1,6706,2378,77360.53548245964,34061.993503641774,111422.52898610142,11.536017817247188,0.49000894721145244,23
upper,URANQ13,6714,2384,76256.45903592346,5140.356213240072,81396.81524916354,11.357828274638585,0.11602621388144177,24
upper,MCKAY1,2466,964,75382.78822946234,1402.5778718668912,76785.36610132923,30.56885167455894,0.17274939172749393,25
upper,RESS1,7624,2882,73581.37094824834,52908.29442477414,126489.6653730225,9.65128160391505,0.18782791185729275,26
upper,BANGOWF1,6094,2166,68569.40015156468,35886.31743495242,104455.7175865171,11.251952765271527,0.4335411880538234,27
upper,KARSF1,6026,2618,64710.15794374415,42071.26563633252,106781.42358007668,10.738492854919373,0.3559575174244939,28
upper,VBB1,2386,935,64412.605258636526,12337.31495460423,76749.92021324075,26.996062556008603,0.3730092204526404,29
upper,URANQ14,6714,2384,63833.77564922716,5702.386246029871,69536.16189525704,9.507562652550963,0.11826035150431934,30
upper,YATSF1,6026,2618,58441.58631913432,38004.09537377873,96445.68169291306,9.698238685551663,0.3634251576501825,31
upper,BANGOWF2,6094,2166,55757.55735382663,22648.58546620245,78406.14282002908,9.149582762360787,0.3977682966852642,32
upper,JUNEESF1,6706,2378,53355.11502479175,15591.480284724174,68946.59530951592,7.956324936592864,0.5518938264240978,33
upper,SNOWYP,3655,1120,52005.54300499025,6454.412205179755,58459.95521017,14.228602737343433,0.07140902872777018,34
upper,URANQ11,6714,2384,50301.77749473465,4666.935896916326,54968.71339165098,7.492072906573525,0.08966338993148644,35
upper,URANQ12,6714,2384,50077.09732696584,2889.206019405809,52966.30334637165,7.458608478845076,0.0828120345546619,36
upper,KESSB1,2495,991,49892.70626797981,7629.720940590182,57522.42720856999,19.99707666051295,0.18797595190380761,37
