DUID,contribution_rows,total_abs_impact_mw_observations,mean_abs_bound_impact_mw,p95_abs_bound_impact_mw,total_tightening_mw_observations,total_relief_mw_observations,contraction_contribution_rows,reversal_contribution_rows,forced_contribution_rows,contraction_onsets,forced_onsets,contraction_abs_impact_mw_observations,contraction_tightening_mw_observations,contraction_relief_mw_observations,contraction_positive_rows,active_months,active_constraint_versions,limit_move_spearman,flow_move_spearman,top_contributor_intervals,equation_versions,factor_min,factor_max,sensitivity_min,sensitivity_mean,sensitivity_max,sensitivity_abs_max,overall_rank,contraction_positive_share,contraction_mean_positive_tightening_mw,contraction_rank,reversal_rank,forced_rank
CROWLWF1,151335,907314.4538728055,6.744043652346592,138.71099119496736,456011.2452386041,451303.20863420144,8824,6006,10292,3573,1825,149300.6087242816,73881.06793663074,75419.54078765085,3989,24.0,69.0,0.06777403148701039,0.06246934562244273,931.0,4806,-0.985,0.9159,-10.34013605442177,0.13768723529606106,11.79741935483871,11.79741935483871,40,0.4520625566636446,8.372741153289976,52,38,45
RYANCWF1,89062,892705.9146528665,36.922410167866666,758.6407766990292,462901.24624142225,429804.6684114443,4936,3781,4617,1931,719,142941.53979819844,82895.38768805546,60046.152110143,2204,24.0,62.0,0.045840748404212185,0.0616348595480112,2709.0,3658,-1.0,1.0,-7.875,0.16877736843690805,12.903225806451614,12.903225806451614,41,0.446515397082658,16.794041265813505,48,75,102
BRYB2WF2,87928,851690.5963525106,48.59456364527477,792.4577753009713,473440.6385409732,378249.95781153743,4227,3618,4842,1570,515,193558.36621425604,116835.49793373919,76722.86828051685,1973,24.0,65.0,0.04360709346835843,0.08038033779477531,400.0,4137,-0.9767,0.942,-6.796610169491526,0.2659665136408055,12.602580645161291,12.602580645161291,42,0.4667612964277265,27.640288131946814,37,78,86
MRTLSWF1,87864,826852.4844380519,46.411063494032874,1028.3370693203883,432094.01615522936,394758.46828282264,4221,3618,4842,1569,515,161407.90714053615,99570.96388571267,61836.94325482346,2008,24.0,65.0,0.03684828755626613,0.04439354466681878,1179.0,4054,-0.9838,0.958,-6.915254237288136,0.2517042593906653,12.694193548387098,12.694193548387098,43,0.47571665482113246,23.589425227603098,41,78,86
YENDWF1,92641,818048.0814144083,32.254365628663365,973.9369700433531,487672.11839905573,330375.9630153526,6066,3981,6271,2427,1044,225811.82909540366,175328.59538468733,50483.23371071634,2726,24.0,66.0,0.04119906169612199,0.07699077050964909,565.0,4231,-1.0,0.888,-6.618644067796611,0.26822822086359005,12.185806451612903,12.185806451612903,44,0.44939004286185297,28.903494128698867,24,67,76
DPNTB1,236663,792304.2542857069,4.483453247816593,66.48936170212765,416289.57069255103,376014.6835931558,13249,14020,31361,4863,3993,80385.56396649574,52634.139083025846,27751.424883469892,2197,24.0,64.0,0.09318485265316999,0.03506640822727038,521.0,13492,-1.0,1.0,-13.404825737265416,-0.7862859223179304,5.874895046179681,13.404825737265416,45,0.16582383576118953,3.9726876808080496,62,16,10
URANQ13,297494,742463.8045810668,2.8035168486040747,69.82426587548248,475421.47176255967,267042.3328185071,12843,15339,30037,4247,3433,120803.04176890352,107892.5474489143,12910.494319989235,1572,24.0,72.0,0.05990125110823096,0.019118893197089624,2612.0,14008,-1.0,1.0,-10.325288562434418,-0.8185271947351569,5.979848866498741,10.325288562434418,46,0.1224013081055828,8.400883551266393,38,11,13
WYASF1,103301,740823.1198504537,8.321561270832513,134.81366612499994,368655.08014673425,372168.03970371943,7111,5752,24717,2489,2756,116869.26502458453,80315.95876613764,36553.30625844689,3468,24.0,54.0,0.12485711777086775,0.09684150843339681,231.0,12219,-1.0,1.0,-10.493179433368311,-0.873269534003043,5.746431570109152,10.493179433368311,47,0.48769512023625367,11.294608179740914,49,43,21
URANQ14,297494,726180.1377803276,2.8010103483156845,75.23779398772945,452445.26597470744,273734.87180562015,12843,15339,30037,4247,3433,105041.8054820959,92899.01398960839,12142.791492487519,1573,24.0,72.0,0.057553557443428834,0.01643257649511376,2549.0,14008,-1.0,1.0,-10.325288562434418,-0.8185271947351569,5.979848866498741,10.325288562434418,48,0.12247917153313088,7.233435645068004,44,11,13
BANGOWF1,58257,708456.737631326,10.287318050866617,191.56621080139382,409253.33760415786,299203.4000271681,6413,4092,24450,2251,2668,106773.36185278826,69282.19642031986,37491.16543246841,2760,24.0,36.0,0.033606118868102816,0.033695653119811764,1123.0,9486,-0.933,0.938,-10.971536109150788,-0.97609974187046,1.7575757575757578,10.971536109150788,49,0.43037579915796037,10.80339878688911,54,62,28
RANGEB1,81291,706552.5705442315,99.54557912995797,743.4944237918215,386092.8748147597,320459.69572947186,2379,3446,545,933,79,36826.92085169199,28929.649255968754,7897.2715957232385,552,24.0,56.0,0.11588592989883281,0.07616882010652751,6151.0,3358,-0.564,1.0,-0.6076115485564305,0.5213475220892491,5.847953216374268,5.847953216374268,50,0.23203026481715006,12.160424235379889,79,91,188
WAGGNSF1,101067,672798.8677920476,7.1434130320699785,94.89462683690468,336483.8005110051,336315.06728104234,6921,5574,23642,2422,2588,108240.88328684607,83287.0095996099,24953.873687236188,3796,24.0,50.0,0.2135672781645546,0.15028412100549707,326.0,12264,-1.0,1.0,-10.493179433368311,-0.8699625255873011,5.746431570109152,10.493179433368311,51,0.5484756538072533,12.03395601786012,47,48,32
RYEPARK1,23700,646455.9006116402,28.439062222050158,243.56425971334045,336200.5815946213,310255.31901701895,2497,1372,6858,734,767,94798.39443707772,49414.55375388432,45383.84068319339,1194,24.0,18.0,0.10875293376243719,0.09559554999012314,1398.0,7696,-1.0,1.0,-1.4274611398963732,-0.9028205763116981,1.4792899408284024,1.4792899408284024,52,0.47817380857028435,19.78956898433493,64,108,70
ELAINWF1,87875,586317.4601328924,30.434111060317836,1008.162234042553,358946.66067953035,227370.799453362,4224,3618,4817,1568,515,174723.10480243526,139321.67303305492,35401.43176938037,2153,24.0,65.0,0.04703378406235742,0.07324935343703999,97.0,4084,-0.9801,1.0,-6.872881355932204,0.2875688264954369,13.297872340425531,13.297872340425531,53,0.5097064393939394,32.983350623355804,31,78,92
STOCKYD1,10552,585829.660222123,47.61690477524429,2098.0830097087373,295484.25755764084,290345.4026644822,3290,526,4755,1352,854,170558.2737287967,97264.75137945624,73293.52234934043,1625,24.0,13.0,0.036348372298801467,-0.0019236543813837346,288.0,834,-1.0,1.0,-7.941666666666666,-0.6362329651192141,12.903225806451614,12.903225806451614,54,0.4939209726443769,29.56375421867971,43,119,96
URANQ11,297494,538468.3648110388,2.149575612440056,71.07690163199975,347773.36118662,190695.00362441875,12843,15339,30037,4247,3433,82677.01463188537,73106.76378703218,9570.250844853188,1094,24.0,72.0,0.047405075775520375,0.026091164565527073,1811.0,14008,-1.0,1.0,-10.325288562434418,-0.8185271947351569,5.979848866498741,10.325288562434418,55,0.08518258973760025,5.692343205406227,53,11,13
URANQ12,297494,529623.9275511503,2.0880502682745266,76.93599999999999,348971.6291328613,180652.29841828914,12843,15339,30037,4247,3433,88672.22393413376,79437.52162911168,9234.702305022072,1118,24.0,72.0,0.05090405723785079,0.024681291742073938,1702.0,14008,-1.0,1.0,-10.325288562434418,-0.8185271947351569,5.979848866498741,10.325288562434418,56,0.08705131199875418,6.185277709967428,50,11,13
HD1WF1,89062,507925.11243193434,25.629355718098303,747.368932038835,270073.8244324512,237851.28799948312,4936,3781,4617,1931,719,87496.5945724764,55875.731641305705,31620.86293117069,1985,24.0,62.0,0.03015492826448543,0.04710631889526099,437.0,3658,-1.0,1.0,-7.875,0.16877736843690805,12.903225806451614,12.903225806451614,57,0.4021474878444084,11.320042877087866,59,75,102
