CONSTRAINTID,version_key,direction,EFFECTIVEDATE,VERSIONNO,ic_factor,LIMITTYPE,DESCRIPTION,applicable_intervals,binding_intervals,near_binding_intervals,near_setting_intervals,leading_intervals,mean_abs_marginal_value,min_ic_slack_mw,median_ic_slack_mw,constraint_sets,invoked_sets
V::N_NIL_O2,V::N_NIL_O2|2025-12-09 00:00:00|1,upper,2025-12-09,1,0.354,Transient Stability,"Out = NIL, prevent transient instability for fault and trip of a HWTS-SMTS 500 kV line, Other than VIC accelerates. Yallourn W G1 on 500kV.",59697,1086,1278,2692,1960,0.5575206645985693,-2.8248587820449903e-05,2743.549731638418,V-NIL,
I_6F_SN_150,I_6F_SN_150|2025-01-30 00:00:00|1,lower,2025-01-30,1,-1.0,Discretionary,Discretionary limit of 150 MW on Bundey to Buronga (6F) 330 kV Line (SA to NSW),4367,50,73,2013,1872,9.295846924873564,-75.87806999999998,556.6106075,"I-6F_SN_150, N-NIL",
V::N_NIL_V1,V::N_NIL_V1|2024-10-31 00:00:00|1,upper,2024-10-31,1,0.478,Transient Stability,"Out = NIL, prevent transient instability for fault and trip of a HWTS-SMTS 500 kV line, VIC accelerates. Yallourn W G1 on 220kV.",107154,424,785,2734,1739,0.13572963673537086,-2.0920502158150307e-05,2604.29190376569,V-NIL,
V::S_BDBU_MAXG_1,V::S_BDBU_MAXG_1|2024-09-25 00:00:00|1,upper,2024-09-25,1,1.0,Transient Stability,Out = Bundey to Buronga 330kV(Both Black Range series capacitors I/S); Vic to SA Transient Stability limit for loss of the largest generation block in SA (Both  South East Capacitor Available).,20290,5,34,2783,1716,0.08188666926677067,0.0,738.2483400000001,I-BDBU_ONE,I-BDBU_ONE
S>>BDBU_TBTU_TBTU_1,S>>BDBU_TBTU_TBTU_1|2024-10-04 00:00:00|1,upper,2024-10-04,1,1.0,Thermal,"Out= Bundey to Buronga 330kV, avoid O/L Tailem Bend-Tungkillo 275kV line 1 or 2 on trip of parallel Tailem Bend-Tungkillo 275 kV line 2 or 1, Feedback",17803,58,161,2871,1636,0.5596846652189266,-1.0000000088439265e-05,767.9499000000001,I-BDBU_ONE,I-BDBU_ONE
S:VS_800,S:VS_800|2024-10-10 00:00:00|1,lower,2024-10-10,1,-1.0,Oscillatory Stability,"Out = NIL(Note: with both Black Range series capacitors I/S), SA to VIC on Heywood and Murraylink combined upper transfer limit of 800 MW based on oscillatory stability.",198850,0,5,4550,1555,0.0,25.893249999999966,1009.31696,S-NIL,
S>>BDBU_TBTU_TBTU_1,S>>BDBU_TBTU_TBTU_1|2024-12-05 00:00:00|1,upper,2024-12-05,1,1.0,Thermal,"Out= Bundey to Buronga 330kV, avoid O/L Tailem Bend-Tungkillo 275kV line 1 or 2 on trip of parallel Tailem Bend-Tungkillo 275 kV line 2 or 1, Feedback",14509,57,159,2796,1494,0.09922744119628746,-1.0000000088439265e-05,629.9727,I-BDBU_ONE,I-BDBU_ONE
F_S++TBTU_L60,F_S++TBTU_L60|2024-12-03 00:00:00|1,upper,2024-12-03,1,1.0,FCAS,"Out = Tailem Bend to Tungkillo 275 kV line, SA Islanded for loss of parallel line, SA Lower 60 sec Requirement for risk of islanding",9408,2539,2439,6015,1481,1.1548974167763961,-469.45685000000003,-143.88808749999998,"S-TBTU, S-TBTU_BC-2CP, S-X_BDBU+TBTU_BC-2CP, S-X_TBTU+BDBU","S-TBTU, S-TBTU_BC-2CP, S-X_TBTU+BDBU"
V::N_NIL_V2,V::N_NIL_V2|2024-10-31 00:00:00|1,upper,2024-10-31,1,0.478,Transient Stability,"Out = NIL, prevent transient instability for fault and trip of a HWTS-SMTS 500 kV line, VIC accelerates. Yallourn W G1 on 500kV.",107154,585,968,3338,1421,0.21477603621611085,-2.0920502158150307e-05,2484.201412133891,V-NIL,
V^^V_BDBU_SWVIC,V^^V_BDBU_SWVIC|2026-02-09 00:00:00|1,lower,2026-02-09,1,-1.0,Voltage Stability,"Out = Bundey to Buronga (6F) 330kV line, manage flow towards Moorabool across Haunted Gully to Cressy and Mortlake to Cressy 500kV lines to avoid voltage instability for the loss of Haunted Gully to Cressy 500kV line and both APD potlines ",5054,212,281,1547,1359,1.8971073703042753,-1.0000000202126103e-05,785.234365,I-BDBU_ONE,I-BDBU_ONE
