DUID,net_mw,tightening_mw,relief_mw,events
VP6,-67.55706541406568,10.897703549060545,78.45476896312621,13
VP5,-72.52348689380446,9.49391859081419,82.01740548461865,13
FINLYSF1,-85.81183434820443,8.421998734464148,94.23383308266858,14
WDBESSL1,-31.62857142857143,7.0,38.62857142857143,4
HUMENSW,-2.471506971428572,5.8945144,8.366021371428571,14
ER02,1.500748436864759,5.726384562941646,4.225636126076886,13
SWAN_E,-96.23506289308176,2.0733752620545074,98.30843815513627,10
BRAEMAR3,-51.0,1.9895178197064989,52.9895178197065,27
QBYNB1,0.0,1.4101522842639593,1.4101522842639593,14
CG2,-80.59703221458946,1.233502538071066,81.83053475266053,13
WAMBOWF2,-0.9070745098039215,0.06004705882352967,0.9671215686274511,2
HUNTER1,0.0,0.0,-0.0,5
HUNTER2,0.0,0.0,-0.0,5
CHBESSG1,0.0,0.0,-0.0,2
CHBESSL1,0.0,0.0,-0.0,2
BRAEMAR7,-59.0,0.0,59.0,27
BRDDBES1,-16.635220125786166,0.0,16.635220125786166,2
CG1,-26.482254697286013,0.0,26.48225469728601,13
BRAEMAR5,0.0,0.0,-0.0,27
BLOWERNG,0.0,0.0,-0.0,14
HEZ1,-5.291453512690356,0.0,5.291453512690356,15
LIMBESS1,0.0,0.0,-0.0,5
KIDSPHG1,0.0,0.0,-0.0,2
KIDSPHL1,0.0,0.0,-0.0,2
KIDSPHL2,0.0,0.0,-0.0,2
KIDSPHG2,0.0,0.0,-0.0,2
SHPUMP,-87.12989257142858,0.0,87.12989257142858,9
SHGEN,-81.92000000000002,0.0,81.92000000000002,9
ROMA_7,-1.0,0.0,1.0,27
PUMP2,0.0,0.0,-0.0,3
QPSFB2,0.0,0.0,-0.0,2
QPSFB1,0.0,0.0,-0.0,2
ROMA_8,-1.0,0.0,1.0,27
PUMP1,0.0,0.0,-0.0,3
NESBESS2,0.0,0.0,-0.0,5
NESBESS1,0.0,0.0,-0.0,5
OAKEY1,-4.0,0.0,4.0,12
TALWB1,-297.142846,0.0,297.142846,9
STABESS1,0.0,0.0,-0.0,1
W/HOE#2,-103.14465408805032,0.0,103.14465408805032,10
W/HOE#1,-50.0,0.0,50.0,10
WOOLES1,0.0,0.0,-0.0,2
