season,direction,DUID,contribution_rows,total_abs_impact,mean_abs_impact,p95_abs_impact,total_tightening,total_relief,contraction_rows,reversal_rows,forced_rows,contraction_onsets,forced_onsets,contraction_abs_impact,contraction_tightening,contraction_relief,contraction_positive_rows
Spring,lower,LKBONNY1,10,20.185792090784044,2.0185792090784043,4.579125713548831,0.0,20.185792090784044,2,0,0,2,0,3.761477235213205,0.0,3.761477235213205,0
Spring,lower,LKBONNY2,10,49.73157583562586,4.973157583562586,9.470175501203576,8.97165674002751,40.75991909559835,2,0,0,2,0,14.466833383768915,0.0,14.466833383768915,0
Spring,lower,LKBONNY3,10,19.910251358321872,1.9910251358321873,3.5557083906464926,0.0,19.910251358321872,2,0,0,2,0,3.5557083906464926,0.0,3.5557083906464926,0
Spring,lower,LNGS1,267,0.0,0.0,0.0,0.0,0.0,100,2,120,36,20,0.0,0.0,0.0,0
Spring,lower,LNGS2,267,777.0408921933085,3.5320040554241294,84.46096654275092,337.8438661710037,439.1970260223048,100,2,120,36,20,508.1766774721189,253.38289962825277,254.79377784386617,3
Spring,lower,LOYYB1,267,6512.63208512963,33.1885750572083,446.02124767657995,5307.207574062239,1205.4245110673912,100,2,120,36,20,3590.9479441053118,3203.956811944935,386.9911321603772,40
Spring,lower,LOYYB2,267,6810.880992827465,39.755293389170355,396.4822723048328,5563.632122488392,1247.2488703390723,100,2,120,36,20,4361.335126242439,3890.0528070403952,471.282319202044,38
Spring,lower,LVES1,265,1804.9125940209765,9.56870871960538,73.54869888475838,1200.5439083305496,604.3686856904269,100,2,120,36,20,931.3720495937725,551.0420720817843,380.32997751198826,15
Spring,lower,LYA1,267,7755.14693004801,26.247863461257168,251.49516728624533,6620.512999624203,1134.6339304238077,100,2,120,36,20,3663.301802880091,3413.6510858113015,249.65071706878928,63
Spring,lower,LYA2,267,1758.7152670703997,10.967924818605715,37.938125,1043.9994469375,714.7158201328996,100,2,120,36,20,433.8603028125,430.081065875,3.779236937500014,22
Spring,lower,LYA3,267,7856.425500947581,27.407680817423604,265.41486988847583,6509.87711905353,1346.548381894052,100,2,120,36,20,3901.724705010638,3431.408185445386,470.3165195652516,61
Spring,lower,LYA4,267,7018.363211483306,21.81466332117344,247.16877323420076,5742.61935460508,1275.7438568782266,100,2,120,36,20,3405.4514463227815,2918.232760574354,487.21868574842773,51
Spring,lower,MACARTH1,2284,215373.03704323643,113.4462119677135,882.2707766990294,108358.51937016108,107014.51767307533,860,109,1105,376,259,65495.407175190776,32442.824514684435,33052.58266050635,314
Spring,lower,MCKAY1,37166,78747.63110183594,2.1089651880880793,16.66,42910.744851548785,35836.88625028715,1387,1858,1590,419,192,4344.629457271899,2305.486301767768,2039.1431555041308,60
Spring,lower,MERCER01,1844,413350.2647382785,202.63216664494902,1398.1192452830187,250996.9992676084,162353.26547067013,479,48,1275,189,145,149556.4120479114,103300.49062193304,46255.92142597838,227
Spring,lower,MOKOSF1,2139,7086.994447384586,2.8313229239963826,26.316246226415092,3416.289784559466,3670.70466282512,826,107,886,360,244,2908.243970128041,1485.2539603486534,1422.9900097793875,119
Spring,lower,MOORAWF1,1844,367997.8598130605,169.38332563051986,1263.4454179153681,253250.87255250954,114746.98726055094,479,48,1275,189,145,120287.96912939163,99817.01524358519,20470.953885806437,300
Spring,lower,MORTLK11,2283,6714.999155002265,2.3360852159670467,62.40566037735849,5283.192856762804,1431.8062982394613,860,108,1105,376,259,2318.9581841886793,2023.2572337169813,295.7009504716981,16
Spring,lower,MORTLK12,2283,7415.9792590657225,2.069366942198586,71.07311320754718,6395.3614523216675,1020.6178067440555,860,108,1105,376,259,1734.0063400750507,1291.4437716788245,442.5625683962264,17
Spring,lower,MREHA1,265,3479.262352754422,20.397921469422855,194.04014869888476,2396.10066071489,1083.1616920395318,100,2,120,36,20,1141.620084157329,1029.3020929623606,112.31799119496856,12
Spring,lower,MREHA2,265,1079.0680981580979,8.151631170792822,134.64163568773236,649.8040950929368,429.264003065161,100,2,120,36,20,257.1111170512731,233.22374535315987,23.88737169811321,4
Spring,lower,MREHA3,265,0.0,0.0,0.0,0.0,0.0,100,2,120,36,20,0.0,0.0,0.0,0
Spring,lower,MRTLSWF1,1816,188466.31960430992,86.00766848154588,1028.3370693203883,104176.34659373085,84289.97301057908,473,48,1275,188,145,58358.18746190285,40510.84714439886,17847.340317503993,228
Spring,lower,MTGELWF1,1798,93545.5496402683,48.18514263886605,562.698370689655,51115.63996639465,42429.909673873655,471,48,1275,186,145,29332.735883414865,18595.47527078492,10737.260612629945,223
Spring,lower,MURRAY,50400,973221.6125628637,19.358551210342423,125.58,498791.80834595,474429.8042169138,2311,2284,1977,792,394,86384.4018317795,80590.63420962653,5793.7676221529655,538
Spring,lower,MUWAWF1,14292,692096.0516546541,49.283156608032556,230.11156352201223,408967.3902556102,283128.6613990439,1400,408,1979,571,370,181584.94573205657,146854.27694607928,34730.66878597727,550
