DUID,contribution_rows,total_abs_impact_mw_observations,mean_abs_bound_impact_mw,p95_abs_bound_impact_mw,total_tightening_mw_observations,total_relief_mw_observations,contraction_contribution_rows,reversal_contribution_rows,forced_contribution_rows,contraction_onsets,forced_onsets,contraction_abs_impact_mw_observations,contraction_tightening_mw_observations,contraction_relief_mw_observations,contraction_positive_rows,active_months,active_constraint_versions,limit_move_spearman,flow_move_spearman,top_contributor_intervals,equation_versions,factor_min,factor_max,sensitivity_min,sensitivity_mean,sensitivity_max,sensitivity_abs_max,overall_rank,contraction_positive_share,contraction_mean_positive_tightening_mw,contraction_rank,reversal_rank,forced_rank
TBSF1,94619,433596.69789175375,5.899415867324519,195.3875973154361,287822.8803405588,145773.81755119492,2061,4646,8161,857,972,83350.11978477964,79163.73105694405,4186.3887278355905,1090,24.0,33.0,0.16868727485824744,0.09893063640895441,5129.0,3806,-1.0,1.0,-14.245014245014245,-0.708772022999429,6.4935064935064934,14.245014245014245,39,0.5288694808345463,38.41034985780885,23,32,91
RANGEB1,29396,431900.58108120685,28.75839807237123,539.0835579514825,211963.20217058074,219937.3789106261,4087,1169,7245,1628,927,79693.8379798932,38111.497902315066,41582.34007757814,526,24.0,39.0,0.009658675264542707,0.030754120101285948,2137.0,3425,-0.564,1.0,-1.076923076923077,0.8678137118299464,4.201680672268908,4.201680672268908,40,0.12870075850256912,9.32505453934795,45,113,101
CRWARP1,28563,416733.7054084419,19.12603222549231,318.3811299199999,240614.701519193,176119.0038892489,2674,1347,7608,1109,790,87684.25832765695,64074.92108738783,23609.337240269117,926,10.0,15.0,0.1079707037345349,-0.012300111849488492,1394.0,974,-1.0,0.8,-0.7238605898123325,1.7019319629909062,3.12621359223301,3.12621359223301,41,0.3462976813762154,23.962199359531724,31,105,97
GANNB1,139088,413219.4178507618,3.5302625617994203,57.40506329113924,215095.54345709883,198123.87439366302,11596,7059,24278,4694,3147,60307.66328270726,35645.47352122825,24662.189761479018,1805,24.0,48.0,0.021477553806840476,-0.0022574808695249885,3706.0,5258,-1.0,1.0,-4.1069767441860465,1.2451556564749635,13.927576601671309,13.927576601671309,42,0.15565712314591237,3.073945629633343,48,14,9
ELAINWF1,34541,400387.89565673424,24.625052715653634,888.4322508398656,245870.2009199202,154517.69473681407,5097,1511,9683,1968,1180,96307.40309948838,68762.4276748304,27544.975424657976,2279,24.0,43.0,0.042578742566315914,0.045658232153810145,115.0,4034,-0.9801,1.0,-1.5111111111111108,0.9608308970206254,12.406947890818858,12.406947890818858,43,0.4471257602511281,13.49076469979015,29,101,70
LIMOSF21,130302,396163.84486054914,3.133539959764146,60.265089395348795,229332.98028317123,166830.86457737794,10302,6860,22399,4145,2924,74233.50551006704,59018.76174358693,15214.743766480102,4609,24.0,39.0,0.15781384297178008,0.022948089411176237,137.0,3500,-0.997,1.0,-7.173620457604307,0.17701695821825583,13.426183844011142,13.426183844011142,44,0.4473888565327121,5.728864467441946,33,23,22
KERNGSP1,130076,370906.1462553144,4.377563588478675,103.55194222222222,185486.61357669532,185419.53267861906,10533,6720,22988,4284,2920,70803.97357720893,33118.46461650836,37685.50896070058,2792,21.0,48.0,0.03497069412859593,0.004139658558417498,539.0,4635,-1.0,1.0,-4.1069767441860465,1.2274791684587065,13.927576601671309,13.927576601671309,45,0.26507167948352794,3.144257535033548,54,26,15
LBB1,168206,359834.9705143526,2.281633200417595,24.0,182987.84154562996,176847.12896872265,5084,8162,22515,2248,2425,12325.977753185209,6924.645244200983,5401.332508984226,613,24.0,51.0,0.06670352808565867,0.08201088851764221,19009.0,6910,-1.0,1.0,-1.7806267806267806,-0.7691381156899321,0.193,1.7806267806267806,46,0.12057435090479937,1.3620466648703744,108,4,16
DUNDWF1,44652,346579.59815822303,8.799875391647356,145.33558325635104,196398.8142154504,150180.7839427726,2712,2785,5652,988,655,44307.643982197085,38113.410776405275,6194.233205791817,1174,24.0,18.0,0.12538824793426107,0.0497562241300884,1479.0,1291,-1.0,1.0,-0.5129032258064516,1.0276252632341738,1.4539170506912442,1.4539170506912442,47,0.43289085545722716,14.053617542922298,44,69,108
DARLSF1,58566,340896.6216537076,5.9621625439486055,58.55988436418179,182244.45477405272,158652.16687965486,5697,3659,11050,2329,1631,58934.35761760652,36906.621014529665,22027.73660307685,2264,24.0,33.0,0.10218243109651552,-0.00850252951346814,310.0,2136,-0.453,0.337,-3.6081370449678802,-0.43963991876379466,5.177142857142858,5.177142857142858,48,0.39740214147797087,6.478255400128079,47,42,60
KIATAWF1,134273,319836.2384327657,2.871706018347756,48.57857111597362,165962.05182824546,153874.18660452025,11899,6988,24451,4829,3191,57861.87383600471,34449.57575681255,23412.298079192162,4022,24.0,48.0,0.005333557306677999,0.016191935736863027,662.0,5060,-1.0,0.9159,-1.8444444444444443,1.2802712709304185,12.658227848101266,12.658227848101266,49,0.3380115976132448,2.895165623734141,51,19,4
BULBES1,110101,309829.13863219577,4.674381087631291,73.40646651270208,156172.95095148816,153656.18768070763,10099,5995,18559,4051,2593,49826.75200331757,25571.138442248495,24255.613561069073,1559,24.0,48.0,-0.013828621845400697,-0.0031927170286886546,517.0,4635,-1.0,0.968,-1.8518518518518516,1.1493071694773405,11.252983293556085,11.252983293556085,50,0.15437171997227447,2.5320465830526286,65,27,28
NBHWF1,85049,309614.5258251494,14.165001638232877,302.9909723247232,181281.05287793875,128333.4729472106,3912,3461,16981,1751,1594,55056.378402100425,40448.024073978784,14608.354328121644,1735,24.0,18.0,0.0492872548052991,-0.10393842534234621,1705.0,1608,-0.983,1.5,-8.951456310679612,-2.7412412483749993,6.7902995720399435,8.951456310679612,51,0.44350715746421265,10.339474456538545,43,48,45
